Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
217	NCT05448768	Cognitive Effects and Potential Mechanisms of TBS in Subjects With MCI		Not yet recruiting	No Results Available	Mild Cognitive Impairment	Device: TBS for Amyloid-positive MCI|Device: TBS for Amyloid-negative MCI	Mini-Mental State Examination ( MMSE )|Montreal Cognitive Assessment|The standard uptake values changes of FDG-PET	Chang Gung Memorial Hospital	All	50 Years to 90 Years   (Adult, Older Adult)	Not Applicable	80	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	202102037A3A0	July 8, 2022	June 30, 2025	June 30, 2025	July 7, 2022		July 7, 2022			https://ClinicalTrials.gov/show/NCT05448768
218	NCT02982603	Efficacy and Safety of Qinggongshoutao Bolus in aMnestic Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment|Herbal Medicine Allergy	Drug: Qinggongshoutao Bolus|Drug: Ginkgo Biloba Extract 761|Drug: Placebos	Change from baseline to end of double-blind treatment of Alzheimer Disease Assessment Scale-cognitive subscale|Change from baseline to end of double-blind treatment of rate of conversion to dementia|Mini-Mental State Examination(MMSE)|Change from baseline to end of double-blind treatment of Delayed Story Recall test (DSR)|Change from baseline to end of double-blind treatment of Alzheimer's Disease Cooperative Study/Activities of Daily Living scale adapted for MCI patients (ADCS/MCI/ADL24)	Dongzhimen Hospital, Beijing	All	55 Years to 85 Years   (Adult, Older Adult)	Phase 4	350	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	Z12020286	May 2015	December 2017	December 2017	December 5, 2016		October 23, 2018	Dongzhimen Hospital ,Beijing University of Chinese Medicine, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT02982603
219	NCT02502253	BDPP Treatment for Mild Cognitive Impairment (MCI) and Prediabetes or Type 2 Diabetes Mellitus (T2DM)	BDPP	Completed	No Results Available	Mild Cognitive Impairment|Alzheimer's Disease	Drug: grape seed polyphenolic extract, resveratrol	Assessment of Adverse Events (AEs) and Serious Adverse Events (SAEs)|Confirm brain penetrance of BDPP by measuring levels of BDPP constituents in cerebrospinal fluid (CSF).|Evaluate BDPP effect on mood with Neuropsychiatric Inventory and Cornell Scale for Depression in Dementia.|Evaluate BDPP effect on cognition with measures of memory, executive function, and attention measures (composite)	Johns Hopkins University|Icahn School of Medicine at Mount Sinai	All	50 Years to 90 Years   (Adult, Older Adult)	Phase 1	14	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	IRB00062802	June 2015	June 1, 2022	June 1, 2022	July 20, 2015		July 22, 2022	Johns Hopkins University, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT02502253
220	NCT01286389	Caloric Restriction in Obese Patients With Mild Cognitive Impairment: Effects on Adiposity, Comorbidity and Cognition		Completed	No Results Available	Mild Cognitive Impairment|Obesity	Other: medical care|Behavioral: caloric restriction	Neuropsychological test performance|Diagnosis of dementia|Weight loss|plasma biomarkers|Genotyping apolipoprotein E|Charlson comorbidity index|International physical activity questionnaire- short version (IPAQ)|Evaluation of Food Consumption|SPPB- Short physical performance battery|Blood pressure	University of Sao Paulo General Hospital|Fundação de Amparo à Pesquisa do Estado de São Paulo	All	60 Years and older   (Adult, Older Adult)	Not Applicable	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	0706/10 CAPPesq	January 2011	May 2013	October 2014	January 31, 2011		November 5, 2014	Hospital das Clínicas - Faculdade de Medicina da USP, Sao Paulo, Brazil		https://ClinicalTrials.gov/show/NCT01286389
221	NCT03514875	Effects of Mitochondrial-targeted Antioxidant on Mild Cognitive Impairment (MCI) Patients		Withdrawn	No Results Available	Alzheimer Disease, Early Onset|Mild Cognitive Impairment	Dietary Supplement: MitoQ|Dietary Supplement: Placebo	Carotid artery blood flow|Oxidative Stress|Cerebrovascular Oxygenation|Brain Electrical Activity|Endothelial Function	University of Nebraska	All	50 Years to 85 Years   (Adult, Older Adult)	Not Applicable	0	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	088-18	November 11, 2019	January 1, 2024	October 1, 2024	May 2, 2018		July 8, 2022	The University of Nebraska at Omaha, Omaha, Nebraska, United States		https://ClinicalTrials.gov/show/NCT03514875
222	NCT05313529	Effects of Liraglutide, Empagliflozin and Linagliptin on the Cognitive Function in T2DM Patients With Mild Cognitive Impairment: a Multicenter, Randomized, Parallel Controlled Clinical Trial		Recruiting	No Results Available	Type 2 Diabetes Mellitus|Mild Cognitive Impairment	Drug: Liraglutide|Drug: Empagliflozin|Drug: Linagliptin	Change of cognitive function|Change of other cognitive function|Change of olfactory brain activation by fMRI|Olfactory threshold test|Change of metabolism	The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|Wuxi People's Hospital|The First Affiliated Hospital with Nanjing Medical University	All	40 Years to 75 Years   (Adult, Older Adult)	Not Applicable	324	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ZZ2022	September 20, 2022	August 31, 2026	August 31, 2027	April 6, 2022		September 10, 2022	Department of Endocrinology, Nanjing First Hospital, Nanjing Medical University, Nanjing, Jiangsu, China|Division of Endocrinology, the Affiliated Drum Tower Hospital of Nanjing University, Nanjing, Jiangsu, China|Department of Endocrinology, The Affiliated Wuxi People's Hospital of Nanjing Medical University, Wuxi, Jiangsu, China		https://ClinicalTrials.gov/show/NCT05313529
223	NCT01028053	Assess the Prognostic Usefulness of Flutemetamol (18F) Injection for Identifying Subjects With Amnestic Mild Cognitive Impairment Who Will Convert to Clinically Probable Alzheimer's Disease		Completed	Has Results	Mild Cognitive Impairment|Alzheimer's Disease	Drug: Flutemetamol (18F) Injection	Hazard Ratio (HR) by PET Scan Readers for Conversion to Probable Alzheimer's Disease Based on Visual Image Interpretation.|The of Normal and Abnormal Subjects Who Convert to Probable Alzheimer's Disease (pAD) Within the Follow up Period.	GE Healthcare|Medpace, Inc.|i3 Statprobe|i3 Research|Quintiles, Inc.	All	60 Years and older   (Adult, Older Adult)	Phase 3	365	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	GE-067-005	December 2009	January 2014	January 2014	December 9, 2009	September 11, 2014	September 11, 2014	GE Healthcare, Princeton, New Jersey, United States		https://ClinicalTrials.gov/show/NCT01028053
224	NCT03815292	Clinical Trial of Efficacy and Safety of MMH-MAP in the Treatment of Mild Cognitive Impairment in Early Recovery Stage After Ischemic Stroke		Completed	Has Results	Mild Cognitive Impairment|Ischemic Stroke	Drug: MMH-MAP|Drug: Placebo	Percentage of Patients With Improved Cognitive Function (The Montreal Cognitive Assessment Test Total Score of the Baseline +1 or More)	Materia Medica Holding	All	45 Years to 80 Years   (Adult, Older Adult)	Phase 3	276	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	MMH-MAP-001	October 19, 2018	January 27, 2020	January 27, 2020	January 24, 2019	February 23, 2021	February 23, 2021	Arkhangelsk Regional Clinical Hospital, Arkhangel'sk, Russian Federation|Belgorod Regional Clinical Hospital of St. Joseph, Belgorod, Russian Federation|Non-State Healthcare Institution "Divisional Hospital at the Bryansk-2 station of the open joint-stock company Russian Railways", Bryansk, Russian Federation|Bryansk Regional Hospital № 1, Bryansk, Russian Federation|Federal State Budgetary Educational Institution of Higher Education "Kazan Medical University" of the Ministry of Healthcare of the Russian Federation, Kazan, Russian Federation|Scientific-Research Institute - Regional Clinical Hospital №1 named after Professor S.V. Ochapovsky, Krasnodar, Russian Federation|The State Budget Health Care institution of Moscow the City "City clinical hospital No. 12 of the Administration of Health Care of Moscow City", Moscow, Russian Federation|State Budgetary Institution of Healthcare of the City of Moscow City Clinical Hospital No. 1 named after. N.I. Pirogov Moscow Department of Health, Moscow, Russian Federation|City Clinical Hospital named after SI. Spasokokukotsky Department of Health of Moscow, Moscow, Russian Federation|City Clinical Hospital №5 of Nizhny Novgorod region of Nizhny Novgorod, Nizhny Novgorod, Russian Federation|Privolzhskiy Research Medical University, Nizhny Novgorod, Russian Federation|State budgetary institution of public health services of the Nizhniy Novgorod region "Nizhegorod Regional Clinical Hospital named after NA Semashko", Nizhny Novgorod, Russian Federation|Pyatigorsk City Clinical Hospital № 2, Pyatigorsk, Russian Federation|Ryazan State Medical University named after academician I.P. Pavlov, Ryazan', Russian Federation|St. Petersburg I. I. Dzhanelidze Research Institute of Emergency Medicine, Saint Petersburg, Russian Federation|Leningrad Regional Clinical Hospital, Saint Petersburg, Russian Federation|State budgetary institution of health care of the Samara region "Samara City Clinical Hospital № 1 named after NI Pirogov", Samara, Russian Federation|Republican Clinical Hospital №4, Saransk, Russian Federation|Saratov State Medical University named after V. I. Razumovsky, Saratov, Russian Federation|St. Petersburg State Budgetary Institution "City Hospital No. 40 in the Kurortny District", Sestroretsk, Russian Federation|Smolensk State Medical University, Smolensk, Russian Federation|State budgetary institution of health care of the Tver region "Regional Clinical Treatment and Rehabilitation Center", Tver, Russian Federation|State Healthcare Institution Ulyanovsk Regional Clinical Hospital, Ulyanovsk, Russian Federation|State budgetary health care institution of the Vladimir region "Regional Clinical Hospital", Vladimir, Russian Federation|Volgograd State Medical University, Volgograd, Russian Federation|Voronezh Regional Clinical Hospital № 1, Voronezh, Russian Federation|Vsevolozhsk Clinical Interdistrict Hospital, Vsevolozhsk, Russian Federation|State Institution of Health of the Yaroslavl Region Clinical Hospital No. 8, Yaroslavl, Russian Federation	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/92/NCT03815292/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03815292
225	NCT02637089	Longitudinal Study of Mild Cognitive Impairment in Parkinson's Disease	PD-MCI	Recruiting	No Results Available	Parkinson's Disease|Mild Cognitive Impairment		Identify which structures in the brain exhibit the highest structural changes and / or BOLD changes correlated to the Z-scores of the neuropsychological assessments|Change from baseline in Z-scores of different neuropsychological assessments|Change in Cognitive Ability measured as BOLD fMRI sequence|Change in Executive Functioning measured as BOLD fMRI sequence|Measure changes in the volume of subcortical structures in the brain|Measure changes in cortical thickness in the brain|Measure structural changes in the brain|Analyze DNA for following genes: COMT, DAT1, MAPT, ApoE, GBA, CHNRA4|Measure level of biomarkers: Aß-amyloid in blood through fluorescence spectroscopy|Measure psychiatric changes with the Mild Behavioural Impairment-Checklist (MBI-C)	University of Calgary|Canadian Institutes of Health Research (CIHR)|Natural Sciences and Engineering Research Council, Canada|Montreal Neurological Institute and Hospital|McGill University	All	60 Years and older   (Adult, Older Adult)		200	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	REB14-2463	March 28, 2016	December 2023	December 2023	December 22, 2015		November 2, 2020	University of Calgary, Department of Clinical Neurosciences, Calgary, Alberta, Canada		https://ClinicalTrials.gov/show/NCT02637089
226	NCT01724151	Effects of Exercise Training in Patients With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment|Alzheimer's Disease		Walking speed of participants	National Taiwan University Hospital	All	45 Years and older   (Adult, Older Adult)		60	Other	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	200812152R	April 2009	October 2009	April 2012	November 9, 2012		April 22, 2014	National Taiwan University Hospital, Taipei, Taiwan		https://ClinicalTrials.gov/show/NCT01724151
227	NCT02924194	Deep Brain Stimulation of the nbM to Treat Mild Cognitive Impairment in Parkinson's Disease		Terminated	No Results Available	Parkinson's Disease|Mild Cognitive Impairment	Device: stimulation ON|Device: stimulation OFF	Evaluate safety of DBS-nbM|Stability or improvement of cognitive symptoms	St. Joseph's Hospital and Medical Center, Phoenix|Barrow Neurological Foundation	All	50 Years to 75 Years   (Adult, Older Adult)	Not Applicable	3	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	PHX-16-0141-30-06	September 2016	April 15, 2021	April 15, 2021	October 5, 2016		September 21, 2021	St. Joseph's Hospital and Medical Center, Phoenix, Arizona, United States		https://ClinicalTrials.gov/show/NCT02924194
228	NCT05383053	Evaluating the Efficacy of Artificial Intelligence-based Computer Aided Diagnosis Software That Assists in Determining Whether or Not to Conduct Amyloid PET for the Diagnosis of Alzheimer's Disease by Predicting Amyloid PET Positivity in Mild Cognitive Impairment Patients		Completed	No Results Available	Alzheimer Disease|Mild Cognitive Impairment	Device: NeuroAI	Explore predictive values(Clinical Sensitivity, %)|Explore predictive values(Clinical Specificity, %)|Explore predictive values(AUC of ROC Curve (Area Under the Curve of Receiver Operating Characteristic Curve))|Explore predictive values(Accuracy, %)	Neurozen Inc.|Chonnam National University Hospital|Chosun University Hospital	All	50 Years and older   (Adult, Older Adult)		227	Industry|Other	Observational	Observational Model: Other|Time Perspective: Retrospective	CNUH-2022-108	July 22, 2022	August 10, 2022	September 8, 2022	May 19, 2022		September 16, 2022	Chonnam National University Hospital, Gwangju, Korea, Republic of		https://ClinicalTrials.gov/show/NCT05383053
229	NCT01061489	Sensory-cognitive and Physical Fitness Training in Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment (MCI)|Mild Alzheimer's Disease	Other: auditory discrimination training|Other: physical movement training	Change in global cognition|electrophysiological, MRI, blood and liquor correlates	University of Konstanz|University of Ulm	All	55 Years and older   (Adult, Older Adult)	Not Applicable	65	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	WIN-Kol-09	August 2009	March 2013	March 2013	February 3, 2010		July 14, 2016	University of Konstanz, Konstanz, Germany|University of Ulm, Memory Clinic, Ulm, Germany		https://ClinicalTrials.gov/show/NCT01061489
230	NCT01924312	Early Detection and Prevention of Mild Cognitive Impairment Due to Cerebrovascular Disease	MCI/CVD	Completed	No Results Available	Cerebrovascular Disease|Mild Cognitive Impairment	Behavioral: Heart Health Intervention	California Verbal Learning Test- Delayed Recall|Brain T2 hyperintensity volume on MRI|Montreal Cognitive Assessment (MOCA)|Total brain volume	Gregory Jicha, 323-5550|University of Kentucky	All	55 Years and older   (Adult, Older Adult)	Not Applicable	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R01NR141892|12-0837-F2L	May 2013	June 30, 2018	June 30, 2019	August 16, 2013		October 9, 2019	University of Kentucky, Lexington, Kentucky, United States		https://ClinicalTrials.gov/show/NCT01924312
231	NCT03446508	Investigating HD-tDCS in Improving Word Finding and Memory Retrieval in Individuals With MCI		Withdrawn	No Results Available	Mild Cognitive Impairment	Device: Active frontal|Device: Active parietal|Device: Sham	Memory retrieval/word finding assessment.|Electroencephalography (EEG).	The University of Texas at Dallas	All	40 Years to 90 Years   (Adult, Older Adult)	Not Applicable	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Basic Science	18-21	November 18, 2017	January 25, 2022	January 25, 2022	February 26, 2018		February 8, 2022	University of Texas at Dallas, Richardson, Texas, United States		https://ClinicalTrials.gov/show/NCT03446508
232	NCT05113446	MDD(Mild Cognitive Impairment Delirium Dementia) Cohort		Recruiting	No Results Available	Delirium|Mild Cognitive Impairment|Dementia	Diagnostic Test: Delirium assessment using S-CAM	Delirium incidence in participants with mild cognitive impairment|Dementia conversion rate and transition period in participants with mild cognitive impairment|Risk factors affecting participants' delirium|Mortality|hospital length of stay|healthcare costs	Keimyung University Dongsan Medical Center	All	65 Years and older   (Older Adult)		163	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2019R1I1A3A0106056112	July 1, 2021	October 31, 2022	December 31, 2025	November 9, 2021		August 1, 2022	Yangsan Seoul long-term care (LTC) facilities, Daegu, Gyeongsangnam-do,, Korea, Republic of|Gunsan Chamsarang long-term care (LTC) facilities, Daegu, Jeollabuk-do, Korea, Republic of		https://ClinicalTrials.gov/show/NCT05113446
233	NCT01072812	Study of the Pharmacokinetics and Pharmacodynamics of POSIPHEN® in Subjects With Amnestic Mild Cognitive Impairment		Terminated	No Results Available	Alzheimer's Disease|Amnestic Mild Cognitive Impairment	Drug: Posiphen® tartrate capsules	Pharmacokinetics|Pharmacodynamics|Biomarkers|Safety	Annovis Bio Inc.	All	55 Years to 80 Years   (Adult, Older Adult)	Phase 1	5	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	QR 12001	February 2010	July 2010	July 2010	February 22, 2010		April 22, 2015	CEDRA Clinical Research, LLC, San Antonio, Texas, United States		https://ClinicalTrials.gov/show/NCT01072812
234	NCT02240459	A Study of Fesoterodine and Oxybutynin on Cognitive Function in Mild Cognitive Impairment		Completed	No Results Available	Overactive Bladder|Mild Cognitive Impairment	Drug: fesoterodine 4mg|Drug: Oxybutynin|Drug: placebo|Drug: fesoterodine 8mg	continuity of attention|cognitive function	University of Alberta|Pfizer	All	75 Years and older   (Older Adult)	Phase 2	47	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other	FES-COG 1808	August 2016	January 31, 2020	January 31, 2020	September 15, 2014		February 19, 2020	Division of Geriatric Medicine, Clinical Sciences Building, University of Alberta Hosp, Edmonton, Alberta, Canada		https://ClinicalTrials.gov/show/NCT02240459
235	NCT05332522	Computerized Memory Enhancing Treatment in MCI	COMET	Recruiting	No Results Available	Mild Cognitive Impairment	Behavioral: Neuroplasticity-based Computerized Cognitive Remediation	Evaluate completion rates of nCCR|Evaluate visit frequency throughout nCCR treatment|Evaluate visit duration throughout nCCR treatment	Vanderbilt University Medical Center	All	55 Years to 85 Years   (Adult, Older Adult)	Not Applicable	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	212375	August 9, 2022	December 31, 2023	December 31, 2023	April 18, 2022		August 12, 2022	Vanderbilt University Medical Center, Nashville, Tennessee, United States		https://ClinicalTrials.gov/show/NCT05332522
236	NCT00243451	Early Detection of Mild Cognitive Impairment in Individual Patients		Completed	No Results Available	Mild Cognitive Impairment|Mild Alzheimer's Disease	Other: PET scan & fMRI	Determine if the Cognitive Decline Index will discriminate subtle lesions earlier than the standard analysis of the Nuclear Medicine physician.|Determine if sensitivity, specificity, receiver-operator characteristics, and predictive value of our method are appropriate for translation into a clinically useful tool.	Louisiana State University Health Sciences Center Shreveport	All	55 Years to 85 Years   (Adult, Older Adult)		34	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	LSUHSC H04-049	September 2003	July 2011	July 2011	October 24, 2005		September 7, 2011	Louisiana State University Health Sciences Center, Shreveport, Louisiana, United States		https://ClinicalTrials.gov/show/NCT00243451
237	NCT02552329	Effects of Tai Chi Exercise on Cognition and Serum Biomarkers of Individuals With MCI	MCI-TaiChi	Completed	No Results Available	Mild Cognitive Impairment	Other: Tai Chi exercise	Change from baseline in cognitive functions at 6 months|Change from baseline in serum biomarkers at 6 months|Change from baseline in fall risk at 6 months|Change from baseline in quality of life at 6 months|Change from baseline in cognitive functions at 3 months|Change from baseline in fall risk at 3 months	Chiang Mai University	All	55 Years to 85 Years   (Adult, Older Adult)	Not Applicable	66	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	Chiang Mai University	December 2013	March 2016	July 2016	September 17, 2015		July 28, 2016	Department of Physical Therapy, Faculty of Associated Medical Sciences, Chiang Mai University, Maung, Chiang Mai, Thailand		https://ClinicalTrials.gov/show/NCT02552329
238	NCT04788238	Dual-Task Zumba Gold for Improving the Cognition of Older Adults With MCI		Active, not recruiting	No Results Available	Mild Cognitive Impairment	Behavioral: Dual-Task Zumba Gold	Changes in Montreal Cognitive Assessment score (from baseline to 18 weeks follow-up)|Changes in Trail Making Test Part A (from baseline to 18 weeks follow-up)|Changes in Trail Making Test Part B (from baseline to 18 weeks follow-up)|Changes in Digit Span test (from baseline to 18 weeks follow-up)|Changes in the MoCA-Memory Index score (from baseline to 18 weeks follow-up)|Changes in quality of life using Perceived Well-Being Scale (from baseline to 18 weeks follow-up)|Changes in mood using Geriatric Depression Scale-Short Form (from baseline to 18 weeks follow-up)|Changes in functional mobility using Short Physical Performance Battery (from baseline to 18 weeks follow-up)|Changes in blood pressure (from baseline to 18 weeks follow-up)|Changes in body-mass index (from baseline to 18 weeks follow-up)|Changes in waist circumference (from baseline to 18 weeks follow-up)	The Hong Kong Polytechnic University	All	55 Years to 80 Years   (Adult, Older Adult)	Not Applicable	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care	HSEARS20200717002	March 29, 2021	October 15, 2021	August 31, 2022	March 9, 2021		February 4, 2022	Municipality of Plaridel, Plaridel, Bulacan, Philippines	"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/38/NCT04788238/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT04788238
239	NCT01482013	Safety Study of HPP854 in Subjects With Mild Cognitive Impairment or a Diagnosis of Mild Alzheimer's Disease		Terminated	No Results Available	Mild Alzheimer's Disease|Mild Cognitive Impairment	Drug: HPP854|Drug: Placebo	Number of Participant Adverse Events|Evaluation of participant plasma HPP854 concentrations|Change in cerebrospinal fluid concentration of Amyloid-Beta	High Point Pharmaceuticals, LLC.	All	50 Years to 85 Years   (Adult, Older Adult)	Phase 1	7	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	HPP854-104	October 2011	March 2012	March 2012	November 30, 2011		August 30, 2012	Elite Research Institute, Miami, Florida, United States|Duke Clinical Research Unit, Durham, North Carolina, United States|High Point Clinical Trials Center, High Point, North Carolina, United States		https://ClinicalTrials.gov/show/NCT01482013
240	NCT02462135	Protocol of Virtual Interactive Memory-Training Program		Completed	No Results Available	Mild Cognitive Impairment	Behavioral: Virtual interactive memory training|Behavioral: Passive information activities	Change in objective memory performance as measured by the Chinese version of the Wechsler Memory Scale-III (WMS-III).|Change in subjective memory complaints as measured by the Multifactorial Memory Questionnaire (MMQ).	Ministry of Science and Technology, Taiwan	All	65 Years and older   (Older Adult)	Not Applicable	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention	201301045	March 2014	December 2017	December 2017	June 3, 2015		December 15, 2017	Residential care facilities, Taipei, Taiwan		https://ClinicalTrials.gov/show/NCT02462135
241	NCT05318703	Virtual Exercise For Older Adults With Mild Cognitive Impairment		Active, not recruiting	No Results Available	Mild Cognitive Impairment	Behavioral: tai ji quan|Behavioral: Stretching	(a) Total number of intervention sessions taught by instructors over the course of study (recorded by a class check sheet) and (b) total number of classes attended by participants over the course of intervention as recorded by class attendance sheet|number of dropouts from the intervention and study as assessed by a study recording sheet|Number of participants expressing intervention program satisfaction as assessed by a self-report survey|Change in global cognitive function assessed by Montreal Cognitive Assessment|Change in attention and working memory as assessed by Digit Span - forward and backward|Change in dual-task cost as assessed by Timed Up and Go with a cognitive task|Change in executive function as assessed by Trail Making B|Change in executive function as assessed by Category Fluency for Animals|Change in cognitive functioning assessed by Everyday Cognition|Change in physical performance as measured by Timed Up and Go test|change in leg strength as assessed by 30-second chair stand test|Change in balance using a 4-stage balance test|Change in depression as assessed by Geriatric Depression scale|Change in physical activity as assessed by International Physical Activity Questionnaire|Change in quality of life as assessed by EuroQol (EQ-5D-3L)	Oregon Research Institute	All	65 Years to 95 Years   (Older Adult)	Not Applicable	69	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention	AG059546-02S1	August 19, 2020	August 30, 2022	October 30, 2022	April 8, 2022		July 18, 2022	Oregon Research Institute, Eugene, Oregon, United States		https://ClinicalTrials.gov/show/NCT05318703
242	NCT01661673	Safety, Tolerability, Pharmacokinetics of EVP-0962 and Effects of EVP-0962 on Cerebral Spinal Fluid Amyloid Concentrations in Healthy Subjects and in Subjects With Mild Cognitive Impairment or Early Alzheimer's Disease		Completed	No Results Available	Mild Cognitive Impairment|Alzheimer's Disease	Drug: EVP-0962|Drug: Placebo	The number of adverse experiences reported by subjects and/or observed by investigator and repeated clinical evaluations of physical examinations, vital signs, 12-lead ECG (electrocardiogram), and lab tests (hematology, chemistry, urinalysis)|To measure the rate of synthesis of Amyloid Beta in cerebral spinal fluid of healthy subjects|To measure the concentration of Amyloid Beta in cerebral spinal fluid|To measure the rate of synthesis of Amyloid Beta and steady-state levels in the cerebral spinal fluid in MCI or early Alzheimer's disease patients|To determine single-and repeat-dose EVP-0962 pharmacokinetics in cerebral spinal fluid and plasma	FORUM Pharmaceuticals Inc|Parexel	All	45 Years to 85 Years   (Adult, Older Adult)	Phase 2	52	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	EVP-0962-002	November 2012	October 2013		August 9, 2012		January 13, 2014	Glendale Adventist Medical Center, Glendale, California, United States		https://ClinicalTrials.gov/show/NCT01661673
243	NCT01662882	A Phase II Trial of Florbetapir (18F) Positron Emission Tomography (PET) Imaging in Japan of Healthy Volunteers, Patients With Mild Cognitive Impairment (MCI) and Patients With Alzheimer's Disease (AD)		Completed	Has Results	Alzheimer's Disease|Mild Cognitive Impairment	Drug: florbetapir (18F)	Qualitative Amyloid Image Assessment|Mean Cortical to Cerebellum SUVR	Avid Radiopharmaceuticals|Eli Lilly and Company	All	50 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	48	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	18F-AV-45-J05|I6E-AV-AVBB	October 2012	February 2013	February 2013	August 13, 2012	September 19, 2013	September 19, 2013	Research Site, Kobe, Japan|Research Site, Tokyo, Japan		https://ClinicalTrials.gov/show/NCT01662882
244	NCT00736996	Pioglitazone Or Exercise to Treat Mild Cognitive Impairment (MCI)	POEM	Completed	Has Results	Mild Cognitive Impairment	Drug: Pioglitazone|Drug: Placebo|Behavioral: Endurance Exercise Training	Change in Cognitive Performance|Change in Insulin Resistance|Change in Peak Oxygen Uptake (VO2 Peak)	University of Colorado, Denver|National Institute on Aging (NIA)	All	55 Years and older   (Adult, Older Adult)	Phase 2	78	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	07-1215|R01AG028746	November 2008	December 2013	December 2013	August 18, 2008	January 15, 2016	January 15, 2016	University of Colorado, Denver, Denver, Colorado, United States		https://ClinicalTrials.gov/show/NCT00736996
