drug	status	target	atc
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
arginine	non		
citrulline	non		
sapropterin	non		
nitric oxide	non		
calcium	non		
mesoheme	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
sapropterin	approved	PAH,NOS3,TH,TPH1	A16AX07
atp	non		
vinorelbine	non		
mesoheme	non		
vinorelbine	approved	TUBB	L01CA04
anidulafungin	approved		J02AX06
clozapine	approved	DRD2,HTR2A	N05AH02
sucralfate	approved	PGA5,FGF2,EGF	A02BX02
grepafloxacin	approved		J01MA11
doxylamine	non		
calcium	non		
doxylamine	approved	HRH1	R06AA09
levonorgestrel	approved	PGR,SRD5A1,ESR1	G03AB03
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
tyrosine	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
iron	non		
pyrroloquinoline quinone	non		
atp	non		
norepinephrine	non		
dopamine	non		
benzocaine	non		
potassium cation	non		
calcium	non		
atp	non		
bupivacaine	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
nadh	non		
atp	non		
lidocaine	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
mesoheme	non		
formaldehyde	non		
atp	non		
norepinephrine	non		
proparacaine	non		
dopamine	non		
potassium cation	non		
calcium	non		
nadh	non		
atp	non		
morphine	non		
codeine	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
mesoheme	non		
uridine-5'-diphosphate	non		
formaldehyde	non		
atp	non		
hydromorphone	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
fentanyl	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
sufentanil	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
methadyl acetate	non		
atp	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
dimethylthiambutene	non		
atp	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
dihydromorphine	non		
atp	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
ketobemidone	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
atp	non		
norepinephrine	non		
oxybuprocaine	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
morphine	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
uridine-5'-diphosphate	non		
atp	non		
norepinephrine	non		
hydrocodone	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
dopamine	non		
oxymorphone	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
remifentanil	non		
dopamine	non		
potassium cation	non		
calcium	non		
nadh	non		
atp	non		
norepinephrine	non		
fluoxetine	non		
dopamine	non		
potassium cation	non		
calcium	non		
mesoheme	non		
formaldehyde	non		
seproxetine	non		
nadh	non		
atp	non		
nicotine	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
mesoheme	non		
flavin adenine dinucleotide	non		
uridine-5'-diphosphate	non		
formaldehyde	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
tyrosine	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
iron	non		
pyrroloquinoline quinone	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
atp	non		
norepinephrine	non		
dextropropoxyphene	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
anileridine	non		
dopamine	non		
potassium cation	non		
calcium	non		
atp	non		
norepinephrine	non		
dopamine	non		
potassium cation	non		
calcium	non		
3-methylthiofentanyl	non		
atp	non		
norepinephrine	non		
levallorphan	non		
dopamine	non		
potassium cation	non		
calcium	non		
norepinephrine	approved	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3	C01CA03
cidofovir	approved		J05AB12
mirtazapine	non		
calcium	non		
mirtazapine	approved	HTR2A,ADRA2A	N06AX11
meprobamate	non		
fluorouracil	non		
capecitabine	non		
flavin adenine dinucleotide	non		
meprobamate	non		
fluorouracil	non		
capecitabine	non		
flavin adenine dinucleotide	non		
meprobamate	approved	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRA1	N05BC51
thiethylperazine	approved		R06AD03
atp	non		
timolol	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
timolol	approved	ADRB1,ADRB2	C07AA06
treprostinil	approved	PTGIR,PPARD,P2RY12	B01AC21
colestipol	approved		C10AC02
trihexyphenidyl	approved	CHRM1	N04AA01
palonosetron	approved	HTR3A	A04AA55
dydrogesterone	approved	PGR	G03FA14
atp	non		
mexiletine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
mexiletine	approved	SCN5A	C01BB02
dexrazoxane	approved	TOP2A	V03AF02
atp	non		
amlodipine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
amlodipine	approved	CACNA1C,CACNA1I	C09XA54
tacrine	approved	ACHE,BCHE	N06DA01
oxyphencyclimine	approved	CHRM3,CHRM1,CHRM2	A03AA01
cysteine	non		
triamterene	non		
potassium cation	non		
urea	non		
triamterene	approved	SCNN1G,SCNN1A,SCNN1B	C03DB02
valrubicin	approved	TOP2A	L01DB09
procyclidine	approved	CHRM1,CHRM2,CHRM4,CHRM3	N04AA04
phenylephrine	approved	ADRA1A,ADRA1B,ADRA1D	S01FB01
carbimazole	approved	TPO	H03BB01
digoxin	approved	ATP1A1	C01AA05
sulpiride	approved	DRD2	N05AL01
profenamine	approved	CHRM1,GRIN3A	N04AA05
atp	non		
nimodipine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
nimodipine	approved	CACNA1C,CACNA1D,CACNA1F,CACNA1S,CACNB1,CACNB2,CACNB3,CACNB4	C08CA06
beclomethasone dipropionate	approved	NR3C1	D07CC04
carisoprodol	approved		M03BA02
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
nadh	non		
progesterone	non		
hydrocortisone	non		
mesoheme	non		
cholesterol	non		
corticosterone	non		
20-hydroxycholesterol	non		
progesterone	approved	PGR,NR3C2	G03FA04
phenylpropanolamine	approved		R01BA51
sorafenib	non		
mesoheme	non		
uridine-5'-diphosphate	non		
sorafenib	approved	BRAF,RAF1,FLT4,KDR,FLT3,PDGFRB,KIT,FGFR1,RET,FLT1	L01XE05
cholecalciferol	non		
atp	non		
zoledronic acid	non		
magnesium cation	non		
iron	non		
dimethylallyl diphosphate	non		
formic acid	non		
geranyl diphosphate	non		
mesoheme	non		
flavin adenine dinucleotide	non		
palmitic acid	non		
pyrophosphoric acid	non		
cholesterol	non		
isopentenyl pyrophosphate	non		
farnesyl diphosphate	non		
zoledronic acid	approved	FDPS,GGPS1	M05BB08
griseofulvin	approved		D01BA01
atp	non		
nisoldipine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
nisoldipine	approved	CACNA1C,CACNA2D1,CACNB2,CACNA1D,CACNA1S	C08CA07
eszopiclone	approved	GABRA1,GABRA1	N05CF04
ceruletide	approved	CCKAR	V04CC04
alprazolam	approved	GABRA1,GABRA1	N05BA12
dexbrompheniramine	non		
calcium	non		
dexbrompheniramine	approved	HRH1	R06AB06
gentian violet cation	approved		G01AX09
ardeparin	non		
phylloquinone	non		
calcium	non		
ardeparin	non		
phylloquinone	non		
calcium	non		
ardeparin	approved	SERPINC1,SERPIND1	
loxapine	approved	DRD2,HTR2A	N05AH01
remoxipride	approved	DRD2	N05AL04
mupirocin	approved		R01AX06
carbamoylcholine	approved	CHRM1,CHRM2,CHRNA2	N07AB01
nadh	non		
rosiglitazone	non		
mesoheme	non		
formaldehyde	non		
rosiglitazone	approved	PPARG	A10BD04
pramipexole	approved	DRD3,DRD2,DRD4	N04BC05
acetohexamide	approved	KCNJ1	A10BB31
ampicillin	approved		J01CR50
metocurine iodide	approved	CHRNA2	
phenoxymethylpenicillin	approved		J01CR50
secobarbital	approved	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6	N05CB01
miglustat	approved	UGCG	A16AX06
promazine	approved	DRD2	N05AA03
cysteine	non		
spironolactone	non		
potassium cation	non		
urea	non		
spironolactone	approved	NR3C2	C03DA01
methylphenidate	approved	SLC6A3	N06BA04
methocarbamol	approved		M03BA73
hyoscyamine	approved	CHRM1,CHRM2	A03BA03
zolpidem	approved	GABRA1	N05CF02
famciclovir	approved		J05AB09
triprolidine	non		
calcium	non		
triprolidine	approved	HRH1	R06AX07
streptozocin	approved		L01AD04
carboprost tromethamine	approved	PTGER1	G02AD04
cefpiramide	approved		J01DD11
lindane	approved	GABRB1	P03AB02
trifluridine	approved	TYMS	L01BC59
prochlorperazine	approved	DRD2	N05AB04
cyproheptadine	non		
calcium	non		
cyproheptadine	approved	HRH1,HTR2A,HTR2C	R06AX02
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
arginine	non		
citrulline	non		
sapropterin	non		
nitric oxide	non		
calcium	non		
mesoheme	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
nitric oxide	approved	GUCY1A2	R07AX01
cysteine	non		
bendroflumethiazide	non		
potassium cation	non		
urea	non		
bendroflumethiazide	approved	SLC12A3,KCNMA1	C03AB01
allopurinol	approved	XDH	M04AA01
ceftazidime	approved		J01DD02
cholecalciferol	non		
atp	non		
cerivastatin	non		
magnesium cation	non		
iron	non		
dimethylallyl diphosphate	non		
formic acid	non		
geranyl diphosphate	non		
mesoheme	non		
flavin adenine dinucleotide	non		
palmitic acid	non		
pyrophosphoric acid	non		
cholesterol	non		
isopentenyl pyrophosphate	non		
farnesyl diphosphate	non		
cerivastatin	approved	HMGCR	C10AA06
trimethoprim	approved		J01EE03
atp	non		
gemcitabine	non		
magnesium cation	non		
zinc	non		
atp	non		
gemcitabine	non		
magnesium cation	non		
zinc	non		
gemcitabine	approved	RRM1	L01BC05
entecavir	approved		J05AF10
betamethasone	approved	NR3C1	R01AD06
nadh	non		
teniposide	non		
calcium	non		
magnesium cation	non		
mesoheme	non		
formaldehyde	non		
nadh	non		
teniposide	non		
calcium	non		
magnesium cation	non		
mesoheme	non		
formaldehyde	non		
teniposide	approved	TOP2A	L01CB02
epirubicin	approved		L01DB03
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
chloramphenicol	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
chloramphenicol	approved		D06AX02
loracarbef	approved		J01DC08
lansoprazole	non		
atp	non		
lansoprazole	non		
potassium cation	non		
zinc	non		
acetylcholine	non		
lansoprazole	approved	ATP4A	A02BC03
dipivefrin	approved	ADRA1A,ADRA2A,ADRB2,BCHE	S01EA02
droperidol	approved	DRD2,ADRA1A	N05AD08
tyrosine	non		
liothyronine	non		
levothyroxine	non		
calcium	non		
3-iodo-tyrosine	non		
mesoheme	non		
2,3-didehydroalanine	non		
flavin adenine dinucleotide	non		
3,5-diiodotyrosine	non		
levothyroxine	approved	THRA,THRB,ITGAV,ITGB3	H03AA01
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
framycetin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
framycetin	approved		D09AA01
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
clomocycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
clomocycline	non		J01AA11
meperidine	approved	OPRK1	N02AB02
loratadine	non		
calcium	non		
loratadine	approved	HRH1	R06AX13
cefalotin	approved		J01DB03
prazosin	approved	ADRA1A,ADRA1B,ADRA1D	C02LE01
nadh	non		
atp	non		
norepinephrine	non		
imipramine	non		
dopamine	non		
desipramine	non		
potassium cation	non		
calcium	non		
mesoheme	non		
formaldehyde	non		
nadh	non		
imipramine	non		
desipramine	non		
mesoheme	non		
formaldehyde	non		
imipramine	approved	SLC6A2,SLC6A4	N06AA02
acitretin	approved	RXRA,RARA,RARB,RARG,RXRB,RXRG	D05BB02
verteporfin	approved		S01LA01
glutamic acid	non		
glutathione	non		
nabumetone	non		
dinoprostone	non		
calcium	non		
magnesium cation	non		
zinc	non		
prostaglandin d2	non		
mesoheme	non		
prostaglandin g2	non		
arachidonic acid	non		
nabumetone	approved	PTGS2	M01AX01
methscopolamine bromide	approved	CHRM1,CHRM2	
metharbital	non	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRA1	N03AA30
sodium tetradecyl sulfate	approved	PROC,PROS1	C05BB04
glutamic acid	non		
glutathione	non		
ketorolac	non		
dinoprostone	non		
calcium	non		
magnesium cation	non		
zinc	non		
prostaglandin d2	non		
mesoheme	non		
prostaglandin g2	non		
arachidonic acid	non		
ketorolac	approved	PTGS2	M01AB15
picrotoxin	non	GABRR1,GABRA1	
enoxacin	approved		J01MA04
quinine	approved		M09AA72
glutamic acid	non		
glutathione	non		
tenoxicam	non		
dinoprostone	non		
calcium	non		
magnesium cation	non		
zinc	non		
prostaglandin d2	non		
mesoheme	non		
prostaglandin g2	non		
arachidonic acid	non		
tenoxicam	approved	PTGS2	M01AC02
dronabinol	approved	CNR1	A04AD10
montelukast	approved	CYSLTR1	R03DC03
nadh	non		
fluoxetine	non		
mesoheme	non		
formaldehyde	non		
seproxetine	non		
nadh	non		
atp	non		
norepinephrine	non		
fluoxetine	non		
dopamine	non		
potassium cation	non		
calcium	non		
mesoheme	non		
formaldehyde	non		
seproxetine	non		
fluoxetine	approved	SLC6A4	N06CA03
hexylcaine	approved	SCN5A	
methohexital	approved	GABRA1	N05CB01
chlordiazepoxide	approved	GABRA1,GABRA1	N05BA02
duloxetine	approved	SLC6A4,SLC6A2	N06AX21
chlorpromazine	approved	DRD2,DRD1,HTR1A,HTR2A,ADRA1A,ADRA1B,HRH1	N05AA01
rimantadine	approved		J05AC02
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
amikacin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
amikacin	approved		S01AA21
