disease_area	nct	year	intervention_name	drug	regulatory_status	approval_year	patient_years	gen_assoc	target_gene	target_status	classification	priority
alzheimer	NCT00568776	2007	elnd005	scyllo-inositol	experimental		852.4188911704313			non	novel, unsup	2
alzheimer	NCT00571064	2008	donepezil hcl	donepezil	approved	1996	126.6776180698152		ACHE	approved	post-approval	7
parkinson	NCT00571285	2007	vitamin d3	vitamin d	supplement		255.80835044490075			non	novel, unsup	2
ftd/als	NCT00573443	2007	dextromethorphan hydrobromide 20 mg and quinidine sulfate 10 mg	dextromethorphan	approved	2010	571.2251882272416		SIGMAR1	approved	pre-approval	6
alzheimer	NCT00574132	2007	bapineuzumab 0.5 mg/kg	bapineuzumab	experimental		5990.866529774127	OMIM	APP	non	novel, supported	1
alzheimer	NCT00575055	2007	bapineuzumab 0.5 mg/kg	bapineuzumab	experimental		4858.43394934976	OMIM	APP	non	novel, supported	1
parkinson	NCT00577460	2007	pramipexole	pramipexole	approved	1997			DRD3	approved	post-approval	7
alzheimer	NCT00580931	2008	nicotinamide	nicotinamide	approved		324.8459958932238		BST1	approved	repurposing	3
alzheimer	NCT00581867	2007	insulin aspart	insulin	approved		142.07802874743325		INSR	approved	repurposing	3
parkinson	NCT00582673	2007	afq056	mavoglurant	experimental				GRM5	approved	metoo	5
alzheimer	NCT00582855	2007	aqw051	aqw051	experimental				CHRNA7	approved	metoo	5
parkinson	NCT00584025	2007	levetiracetam	levetiracetam	approved		0		SV2A	approved	repurposing	3
parkinson	NCT00584090	2007	solifenacin succinate (vesicare)	solifenacin	approved				CHRM3	approved	repurposing	3
alzheimer	NCT00586430	2005	lorazepam	lorazepam	approved		56.87063655030801		GABRA1	approved	repurposing	3
parkinson	NCT00590122	2006	carbidopa-levodopa	carbidopa,levodopa	combination				DRD1	approved	combination	4
huntington	NCT00592995	2007	creatine monohydrate	creatine	supplement		304.18617385352496		CKM	approved	metoo	5
parkinson	NCT00593606	2007	rotigotine	rotigotine	approved	2007	51.94250513347023		DRD3	approved	post-approval	7
parkinson	NCT00594464	2007	rotigotine	rotigotine	approved	2007	9.314168377823409		DRD3	approved	post-approval	7
alzheimer	NCT00594568	2008	ly450139	semagacestat	experimental		4864.536618754278	OMIM	PSEN1	non	novel, supported	1
ftd/als	NCT00594737	2007	memantine hydrochloride	memantine	approved		79.35660506502396		GRIN1	approved	repurposing	3
alzheimer	NCT00596024	2007	lutein/zeaxanthin	lutein	supplement		4.747433264887063			non	novel, unsup	2
alzheimer	NCT00597376	2007	cerefolin nac (a medical food)	levomefolic acid	supplement		363.6084873374401			non	novel, unsup	2
parkinson	NCT00600093	2008	amantadine	amantadine	approved	2003			GRIN3A	approved	post-approval	7
ftd/als	NCT00600873	2007	r(+) pramipexole dihydrochloride monohydrate	pramipexole	approved		14.209445585215606		DRD3	approved	repurposing	3
parkinson	NCT00601523	2008	pramipexole	pramipexole	approved	1997			DRD3	approved	post-approval	7
parkinson	NCT00601978	2008	carbidopa/levodopa	carbidopa,levodopa	combination		0		DRD1	approved	combination	4
alzheimer	NCT00602680	2008	ssr180711c	ssr180711c	experimental		0.49828884325804246		CHRNB2	approved	metoo	5
ftd/als	NCT00604591	2011	tolcapone	tolcapone	approved		91.07186858316221		COMT	approved	repurposing	3
parkinson	NCT00605553	2008	tozadenant	tozadenant	experimental		32.4435318275154		ADORA2A	approved	metoo	5
parkinson	NCT00605683	2007	safinamide (as add-on therapy)	safinamide	approved	2017	2940.939082819986		MAOB	approved	pre-approval	6
alzheimer	NCT00606164	2008	bryostatin for injection	bryostatin 1	experimental				PRKCA	approved	metoo	5
alzheimer	NCT00606476	2006	bapineuzumab (aab-001)	bapineuzumab	experimental		1115.9315537303216	OMIM	APP	non	novel, supported	1
alzheimer	NCT00607308	2008	pf-04360365	ponezumab	experimental		53.27857631759069	OMIM	APP	non	novel, supported	1
parkinson	NCT00607451	2008	neu-120	neu-120	experimental		67.92060232717317			non	novel, unsup	2
parkinson	NCT00608231	2008	dexmedetomidine hydrochloride infusion	dexmedetomidine	approved		0		ADRA2A	approved	repurposing	3
huntington	NCT00608881	2008	coenzyme q10	ubidecarenone	supplement		4363.457905544148		NDUFV3	approved	metoo	5
alzheimer	NCT00608946	2004	copper	copper	supplement					non	novel, unsup	2
parkinson	NCT00610103	2007	apomorphine hydrochloride	apomorphine	approved	2004	14.674880219028063		DRD4	approved	post-approval	7
ftd/als	NCT00614926	2006	modafinil	modafinil	approved		66.67214236824093		SLC6A3	approved	repurposing	3
parkinson	NCT00615472	2003	isoflurane	isoflurane	approved		434.9404517453799		GABRA1	approved	repurposing	3
alzheimer	NCT00620191	2008	metformin	metformin	approved		320		PRKAB1	approved	repurposing	3
alzheimer	NCT00621647	2002	quetiapine fumarate	quetiapine	approved		388.3860369609856		HTR2A	approved	repurposing	3
alzheimer	NCT00622713	2008	rivastigmine transdermal patch	rivastigmine	approved	2000	228.4681724845996		ACHE	approved	post-approval	7
parkinson	NCT00623103	2008	rivastigmine capsule	rivastigmine	approved				ACHE	approved	repurposing	3
parkinson	NCT00623324	2008	aplindore	aplindore	experimental				DRD2	approved	metoo	5
parkinson	NCT00623363	2007	piclozotan	piclozotan	experimental		33.782340862423		HTR1A	approved	metoo	5
alzheimer	NCT00624026	2007	memantine-hcl	memantine	approved	2003	116.0082135523614		GRIN1	approved	post-approval	7
alzheimer	NCT00626210	2008	modafinil	modafinil	approved		9.330595482546201		SLC6A3	approved	repurposing	3
parkinson	NCT00627588	2008	prosavin	prosavin	experimental		68.74743326488706		TH	approved	metoo	5
parkinson	NCT00627640	2009	safinimide 50-100 mg/day	safinamide	approved	2017	1689.4620123203285		MAOB	approved	pre-approval	6
alzheimer	NCT00627848	2007	rivastigmine	rivastigmine	approved	2000	35.09924709103354		ACHE	approved	post-approval	7
alzheimer	NCT00628017	2003	omega-3 polyunsaturated fatty acids ( epa+dha)	DHA,EPA	approved		99.49349760438056		PPARA	approved	repurposing	3
parkinson	NCT00629161	2008	traditional chinese medicinal mixture (composed of roucongrong and adjuvant)	roucongrong	supplement					non	novel, unsup	2
parkinson	NCT00630500	2006	memantine	memantine	approved		230.80082135523614		GRIN1	approved	repurposing	3
alzheimer	NCT00630851	2002	donepezil (aricept)	donepezil	approved	1996	498.34086242299793		ACHE	approved	post-approval	7
huntington	NCT00632645	2009	olanzapine	olanzapine	approved		1453.305954825462		HTR2A	approved	repurposing	3
parkinson	NCT00632736	2004	ropinirole xl (formerly cr)	ropinirole	approved	1997	2546.694045174538		DRD3	approved	post-approval	7
parkinson	NCT00632762	2007	mantadix	amantadine	approved	2003			GRIN3A	approved	post-approval	7
alzheimer	NCT00633841	2008	affitope ad02	affitope ad02	experimental		37.97946611909651	OMIM	APP	non	novel, supported	1
ftd/als	NCT00635960	2007	growth hormone (somatropin)	somatropin	approved				GHR	approved	repurposing	3
alzheimer	NCT00637442	2008	reminyl retard	galantamine	approved	2001			ACHE	approved	post-approval	7
parkinson	NCT00640159	2007	zelapar	selegiline	approved	1996			MAOB	approved	post-approval	7
parkinson	NCT00640952	2006	acamprosate	acamprosate	approved		0		GRM5	approved	repurposing	3
parkinson	NCT00641186	2004	sodium oxybate	sodium oxybate	approved					non	repurposing	3
parkinson	NCT00642356	2008	carbidopa/levodopa/entacapone	carbidopa,levodopa	combination		16.32854209445585		DRD1	approved	combination	4
parkinson	NCT00642889	2005	safinamide	safinamide	approved	2017	472.33401779603014		MAOB	approved	pre-approval	6
parkinson	NCT00642928	2007	bf 2.649 10 mg	pitolisant	approved		180.07392197125256		HRH3	approved	repurposing	3
parkinson	NCT00643045	2004	safinamide	safinamide	approved	2017	693.7659137577002		MAOB	approved	pre-approval	6
parkinson	NCT00643890	2008	bilateral surgical infusion of aav-gad into the subthalamic nucleus	aav-gad	experimental				GAD1	non	novel, unsup	2
alzheimer	NCT00645190	2004	galantamine hbr	galantamine	approved	2001	198.3709787816564		ACHE	approved	post-approval	7
parkinson	NCT00646204	2006	memantine	memantine	approved				GRIN1	approved	repurposing	3
ftd/als	NCT00647296	2008	kns-760704	dexpramipexole	experimental		161.69199178644763			non	novel, unsup	2
alzheimer	NCT00649220	2008	memantine	memantine	approved	2003	17.426420260095824		GRIN1	approved	post-approval	7
parkinson	NCT00650104	2002	ropinirole xl (formerly cr)	ropinirole	approved	1997	519.3593429158111		DRD3	approved	post-approval	7
parkinson	NCT00656253	2008	herbal medicinal mixture (roucongrong, heshouwu etc.)	roucongrong,heshouwu	supplement		395.378507871321			non	novel, unsup	2
parkinson	NCT00658567	2008	pimavanserin tartrate (acp-103)	pimavanserin	approved		215.52361396303903		HTR2A	approved	repurposing	3
alzheimer	NCT00663026	2008	bapineuzumab	bapineuzumab	experimental		151.18685831622176	OMIM	APP	non	novel, supported	1
alzheimer	NCT00663936	2008	t-817ma	edonerpic	experimental		1180.5284052019165			non	novel, unsup	2
parkinson	NCT00664209	2008	clartihromycin, amoxicillin, and omeprazole	clarithromycin	approved		282.6338124572211			non	repurposing	3
huntington	NCT00665223	2008	acr16	pridopidine	experimental		1383.085557837098		SIGMAR1	approved	metoo	5
parkinson	NCT00666653	2003	pramipexole	pramipexole	approved	1997	49.828884325804246		DRD3	approved	post-approval	7
alzheimer	NCT00667810	2008	bapineuzumab	bapineuzumab	experimental		4654.858316221766	OMIM	APP	non	novel, supported	1
parkinson	NCT00669461	2009	lubiprostone	lubiprostone	approved		1.2511978097193703		CLCN2	approved	repurposing	3
alzheimer	NCT00672945	2008	prx-03140	prx-03140	experimental				HTR4	approved	metoo	5
alzheimer	NCT00675090	2008	gsk239512	gsk239512	experimental		36.87337440109514		HRH3	approved	metoo	5
alzheimer	NCT00675623	2008	dimebon	dimebon	approved				HRH1	approved	repurposing	3
alzheimer	NCT00676143	2008	bapineuzumab	bapineuzumab	experimental		5318.54893908282	OMIM	APP	non	novel, supported	1
alzheimer	NCT00678431	2008	resveratrol with glucose, and malate	resveratrol	supplement		92.18069815195072			non	novel, unsup	2
alzheimer	NCT00679627	2008	galantamine	galantamine	approved	2001	8029.924709103354		ACHE	approved	post-approval	7
alzheimer	NCT00684944	2007	trx0014	methylene blue	approved		357.388090349076		GUCY1A2	approved	repurposing	3
alzheimer	NCT00687141	2007	azd0328	azd0328	experimental		65.3141683778234		CHRNA7	approved	metoo	5
alzheimer	NCT00688207	2008	rosiglitazone (extended release)	rosiglitazone	approved		5.864476386036961		PPARG	approved	repurposing	3
ftd/als	NCT00690118	2008	pioglitazone	pioglitazone	approved		456.28747433264886		PPARG	approved	repurposing	3
alzheimer	NCT00693004	2008	prx-03140	prx-03140	experimental				HTR4	approved	metoo	5
parkinson	NCT00696215	2007	rasagiline	rasagiline	approved	2006			MAOB	approved	post-approval	7
ftd/als	NCT00696332	2008	talampanel	talampanel	experimental		928.9883641341547			non	novel, unsup	2
alzheimer	NCT00702780	2008	escitalopram	escitalopram	approved		209.48939082819987		SLC6A4	approved	repurposing	3
alzheimer	NCT00703430	2008	memantine	memantine	approved	2003			GRIN1	approved	post-approval	7
alzheimer	NCT00704782	2008	dimebon	dimebon	approved		116.63244353182752		HRH1	approved	repurposing	3
ftd/als	NCT00706147	2009	arimoclomol	arimoclomol	experimental		297.6536618754278			non	novel, unsup	2
alzheimer	NCT00708552	2008	sb-742457	intepirdine	experimental		966.7022587268993		HTR6	approved	metoo	5
alzheimer	NCT00710684	2008	sb-742457 15mg	intepirdine	experimental		1620.7419575633128		HTR6	approved	metoo	5
alzheimer	NCT00711204	2008	donepezil hydrochloride (aricept)	donepezil	approved	1996			ACHE	approved	post-approval	7
huntington	NCT00712426	2009	creatine monohydrate	creatine	supplement		2949.3333333333335		CKM	approved	metoo	5
alzheimer	NCT00722046	2008	pf-04360365 0.1 mg/kg	ponezumab	experimental		527.4579055441478	OMIM	APP	non	novel, supported	1
huntington	NCT00724048	2008	acr16 10 mg	pridopidine	experimental		604.7118412046543		SIGMAR1	approved	metoo	5
alzheimer	NCT00731224	2008	rivastigmine transdermal patch	rivastigmine	approved	2000	1234.9349760438056		ACHE	approved	post-approval	7
alzheimer	NCT00733642	2008	pf-04360365 1 mg/kg	ponezumab	experimental		13.716632443531827	OMIM	APP	non	novel, supported	1
alzheimer	NCT00733863	2008	cad106	cad106	experimental					non	novel, unsup	2
alzheimer	NCT00736775	2008	anti-abeta	anti-abeta antibody	experimental			OMIM	APP	non	novel, supported	1
parkinson	NCT00738062	2008	droxidopa	droxidopa	approved		300.3285420944558		ADRA1A	approved	repurposing	3
alzheimer	NCT00739037	2008	paz-417	aleplasinin	experimental				SERPINE1	approved	metoo	5
parkinson	NCT00740714	2008	coenzyme q10 with vitamin e	ubidecarenone	supplement		1598.3572895277207		NDUFV3	approved	metoo	5
alzheimer	NCT00742417	2007	albutein 5%	albumin	approved		153.9712525667351			non	repurposing	3
alzheimer	NCT00743743	2008	longevinex brand resveratrol supplement	resveratrol	approved		0			non	repurposing	3
alzheimer	NCT00744978	2009	varenicline	varenicline	approved		88.18069815195072		CHRNA4	approved	repurposing	3
parkinson	NCT00745030	2008	rozerem	ramelteon	approved		4.501026694045175		MTNR1A	approved	repurposing	3
ftd/als	NCT00748501	2008	sb-509	sb-509	experimental		78.60369609856262		VEGFA	approved	metoo	5
alzheimer	NCT00749216	2008	solanezumab	solanezumab	experimental		27.37577002053388	OMIM	APP	non	novel, supported	1
alzheimer	NCT00750529	2008	galantamine and donepezil	galantamine,donepezil	combination		72.48459958932239		ACHE	approved	combination	4
alzheimer	NCT00751907	2006	atorvastatin	atorvastatin	approved		13.316906228610542		HMGCR	approved	repurposing	3
alzheimer	NCT00752232	2008	acc-001	vanutide cridificar	experimental		143.24435318275155	OMIM	APP	non	novel, supported	1
ftd/als	NCT00753571	2008	cistanche total glycosides	cistanche total glycosides	supplement					non	novel, unsup	2
parkinson	NCT00753636	2008	dynacirc cr (isradipine)	isradipine	approved		56.95003422313484		CACNA1C	approved	repurposing	3
parkinson	NCT00755027	2008	rasagiline	rasagiline	approved	2006	229.86995208761124		MAOB	approved	post-approval	7
parkinson	NCT00758368	2009	apomorphine	apomorphine	approved	2004	0		DRD4	approved	post-approval	7
parkinson	NCT00758849	2008	fipamezole	fipamezole	experimental				ADRA2A	approved	metoo	5
parkinson	NCT00761137	2008	0 mg tropicamide	tropicamide	approved		42.75975359342916		CHRM4	approved	repurposing	3
parkinson	NCT00761436	2000	spheramine (bay86-5280)	spheramine	experimental		73.47843942505133		DRD1	approved	metoo	5
alzheimer	NCT00762411	2008	ly450139	semagacestat	experimental		2865.3305954825464	OMIM	PSEN1	non	novel, supported	1
alzheimer	NCT00766363	2008	evp-6124 (0.1 mg/day)	encenicline	experimental		20.257357973990416		CHRNA7	approved	metoo	5
parkinson	NCT00767091	2009	rivastigmine	rivastigmine	approved		113.45653661875428		ACHE	approved	repurposing	3
parkinson	NCT00767546	2009	botulinum toxin	botulinum toxin a	approved				SNAP25	approved	repurposing	3
alzheimer	NCT00768261	2004	donepezil (aricept®)	donepezil	approved	1996	191.66324435318276		ACHE	approved	post-approval	7
alzheimer	NCT00777608	2008	donepezil 10 mg	donepezil	approved	1996	141.04312114989733		ACHE	approved	post-approval	7
parkinson	NCT00782340	2008	droxidopa	droxidopa	approved		525.6399726214921		ADRA1A	approved	repurposing	3
ftd/als	NCT00790582	2008	lithium carbonate	lithium	approved					non	repurposing	3
alzheimer	NCT00792662	2008	methylphenidate	methylphenidate	approved		0		SLC6A3	approved	repurposing	3
parkinson	NCT00794313	2009	topiramate	topiramate	approved		2.242299794661191		GABRA1	approved	repurposing	3
alzheimer	NCT00795418	2008	cad106	cad106	experimental					non	novel, unsup	2
alzheimer	NCT00795730	2009	nsa-789	nsa-789	experimental					non	novel, unsup	2
ftd/als	NCT00800501	2008	snn0029	snn0029	experimental		44.94455852156057		VEGFA	approved	metoo	5
alzheimer	NCT00800709	2008	memantine	memantine	approved	2003			GRIN1	approved	post-approval	7
alzheimer	NCT00804271	2008	memantine	memantine	approved	2003	446.6666666666667		GRIN1	approved	post-approval	7
parkinson	NCT00806468	2009	desmotabs	desmopressin	approved		1.998631074606434		AVPR2	approved	repurposing	3
parkinson	NCT00809302	2008	aplindore mr tablets or placebo	aplindore	experimental		7.490759753593429		DRD2	approved	metoo	5
alzheimer	NCT00809510	2009	abt-089	pozanicline	experimental					non	novel, unsup	2
alzheimer	NCT00810147	2009	bms-708163	avagacestat	experimental		277.52224503764546	OMIM	PSEN1	non	novel, supported	1
alzheimer	NCT00812565	2009	octagam 10%	octagam 10%	experimental		91.6249144421629			non	novel, unsup	2
ftd/als	NCT00812851	2005	dronabinol	dronabinol	approved		72.0164271047228		CNR1	approved	repurposing	3
alzheimer	NCT00814346	2008	egb761®	ginkgo biloba	supplement		183.65776865160848			non	novel, unsup	2
alzheimer	NCT00814502	2008	zolpidem cr	zolpidem	approved		99.98631074606433		GABRA1	approved	repurposing	3
alzheimer	NCT00814801	2007	galantamine 16 mg/day	galantamine	approved	2001	917.8370978781657		ACHE	approved	post-approval	7
ftd/als	NCT00818389	2009	lithium carbonate	lithium	approved		62.784394250513344			non	repurposing	3
parkinson	NCT00822913	2008	intravesical injection of botulinum a toxin	botulinum toxin a	approved				SNAP25	approved	repurposing	3
parkinson	NCT00823836	2009	ropinirole ir	ropinirole	approved	1997	529.1718001368926		DRD3	approved	post-approval	7
alzheimer	NCT00829374	2009	dimebon	dimebon	approved		2759.794661190965		HRH1	approved	repurposing	3
alzheimer	NCT00829816	2008	dimebon	dimebon	approved		76.57221081451061		HRH1	approved	repurposing	3
parkinson	NCT00833690	2009	inosine	inosine	approved		262.62833675564684			non	repurposing	3
alzheimer	NCT00838110	2009	dimebon	dimebon	approved		678.5160848733744		HRH1	approved	repurposing	3
alzheimer	NCT00842673	2009	st101	st101	experimental		265.39630390143736			non	novel, unsup	2
alzheimer	NCT00842816	2009	st101	st101	experimental		470.8829568788501			non	novel, unsup	2
alzheimer	NCT00843518	2009	ly451395	mibampator	experimental		307.1868583162218		GRIA1	approved	metoo	5
parkinson	NCT00845000	2009	sch 420814 10 mg	preladenant	experimental		12.747433264887064		ADORA2A	approved	metoo	5
parkinson	NCT00853879	2006	b6, b12, l-methylfolate	levomefolic acid	supplement		524.8459958932239			non	novel, unsup	2
parkinson	NCT00855686	2007	memantine	memantine	approved		398.2724161533196		GRIN1	approved	repurposing	3
alzheimer	NCT00857233	2004	memantine	memantine	approved	2003	1880.7967145790553		GRIN1	approved	post-approval	7
alzheimer	NCT00857649	2003	memantine	memantine	approved	2003	2491.318275154004		GRIN1	approved	post-approval	7
alzheimer	NCT00862940	2005	memantine	memantine	approved	2003	991.9671457905545		GRIN1	approved	post-approval	7
parkinson	NCT00865579	2009	safinamide	safinamide	approved	2017	3053.656399726215		MAOB	approved	pre-approval	6
alzheimer	NCT00866060	2008	donepezil	donepezil	approved	1996			ACHE	approved	post-approval	7
parkinson	NCT00866502	2009	snn0031	snn0031	experimental		23.983572895277206		PDGFB	non	novel, unsup	2
alzheimer	NCT00867828	2009	neptune krill oil	krill oil	supplement		292.26557152635183			non	novel, unsup	2
ftd/als	NCT00868166	2009	olesoxime	olesoxime	experimental		1237.7713894592744			non	novel, unsup	2
parkinson	NCT00869791	2008	ipx066	carbidopa,levodopa	combination		15.671457905544148		DRD1	approved	combination	4
parkinson	NCT00873392	2009	transdermal nicotine	nicotine	approved		169.74674880219027		CHRNA4	approved	repurposing	3
alzheimer	NCT00874939	2009	mk-0249 25 mg	mk-0249	experimental		0.15331964407939766		HRH3	approved	metoo	5
parkinson	NCT00875316	2009	cogane™ (pym50028)	smilagenin	experimental					non	novel, unsup	2
ftd/als	NCT00875446	2009	gsk1223249	gsk1223249	experimental		176.6570841889117		RTN4	non	novel, unsup	2
ftd/als	NCT00876772	2011	olanzapine	olanzapine	approved				HTR2A	approved	repurposing	3
alzheimer	NCT00876863	2008	cere-110: adeno-associated virus delivery of ngf	cere-110	experimental		332.16700889801507		NGF	non	novel, unsup	2
ftd/als	NCT00877604	2008	tauroursodeoxycholic acid (tudca)	tudca	supplement		130.321697467488			non	novel, unsup	2
alzheimer	NCT00880412	2008	eht 0202 etazolate	eht 0202	experimental		262.6666666666667			non	novel, unsup	2
parkinson	NCT00880620	2009	ipx066 145 mg ld	carbidopa,levodopa	combination		603.9671457905545		DRD1	approved	combination	4
alzheimer	NCT00884507	2009	ro5313534	rg3487	experimental		584.6981519507187		CHRNA7	approved	metoo	5
ftd/als	NCT00886977	2009	yam80	yam80	experimental					non	novel, unsup	2
parkinson	NCT00888004	2009	afq056	mavoglurant	experimental				GRM5	approved	metoo	5
parkinson	NCT00888186	2008	levodopa/carbidopa	carbidopa,levodopa	combination		1.2320328542094456		DRD1	approved	combination	4
alzheimer	NCT00890890	2009	avagacestat	avagacestat	experimental		1095.9233401779602	OMIM	PSEN1	non	novel, supported	1
parkinson	NCT00892450	2009	oxybutynin and darifenacin	oxybutynin,darifenacin	approved		64.03285420944559		CHRM3	approved	repurposing	3
alzheimer	NCT00895895	2009	sam-531 1.5 mg	cerlapirdine	experimental		1051.2799452429842		HTR6	approved	metoo	5
alzheimer	NCT00898807	2009	citalopram	citalopram	approved		775.5728952772074		SLC6A4	approved	repurposing	3
parkinson	NCT00902941	2009	azilect 1mg	rasagiline	approved	2006	93.64544832306639		MAOB	approved	post-approval	7
parkinson	NCT00903838	2009	pardoprunox	pardoprunox	experimental		61.489390828199866			non	novel, unsup	2
alzheimer	NCT00904683	2009	ly2062430	solanezumab	experimental		3208.980150581793	OMIM	APP	non	novel, supported	1
alzheimer	NCT00905372	2009	ly2062430	solanezumab	experimental			OMIM	APP	non	novel, supported	1
parkinson	NCT00906763	2009	chocolate	chocolate	supplement					non	novel, unsup	2
parkinson	NCT00906828	2008	levodopa/carbidopa	carbidopa,levodopa	combination				DRD1	approved	combination	4
multiple	NCT00907595	2009	ramelteon	ramelteon	approved		0		MTNR1A	approved	repurposing	3
parkinson	NCT00907972	2009	vitamin d3	vitamin d	supplement		76.69815195071868			non	novel, unsup	2
parkinson	NCT00908076	2009	lubiprostone	lubiprostone	approved		129.62628336755648		CLCN2	approved	repurposing	3
parkinson	NCT00909545	2009	isradipine cr 10mg	isradipine	approved		256.13963039014374		CACNA1C	approved	repurposing	3
parkinson	NCT00909883	2009	botulinum toxin: xeomin	botulinum toxin a	approved				SNAP25	approved	repurposing	3
alzheimer	NCT00911807	2004	cerebrolysin + donepezil	donepezil	combination	1996	759.2772073921972		ACHE	approved	post-approval	7
alzheimer	NCT00912288	2009	dimebon 20 mg po tid	dimebon	approved		78.64202600958248		HRH1	approved	repurposing	3
parkinson	NCT00912808	2005	donepezil	donepezil	approved		76.76112251882273		ACHE	approved	repurposing	3
parkinson	NCT00914095	2009	methylphenidate	methylphenidate	approved		149.42915811088295		SLC6A3	approved	repurposing	3
parkinson	NCT00914134	2009	levodopa infusion	levodopa	approved	1975	21.026694045174537		DRD1	approved	post-approval	7
parkinson	NCT00914602	2009	sinemet®	carbidopa,levodopa	combination				DRD1	approved	combination	4
alzheimer	NCT00916383	2009	350 mg donepezil transdermal patch	donepezil	approved	1996	4.158795345653662		ACHE	approved	post-approval	7
alzheimer	NCT00916617	2009	bapineuzumab	bapineuzumab	experimental		201.65913757700204	OMIM	APP	non	novel, supported	1
parkinson	NCT00918177	2009	ap09004	ap09004	experimental					non	novel, unsup	2
ftd/als	NCT00919555	2008	pioglitazone and tretinoin	pioglitazone	approved		104.94729637234771		PPARG	approved	repurposing	3
huntington	NCT00920699	2010	coq10	ubidecarenone	supplement		187.02258726899385		NDUFV3	approved	metoo	5
huntington	NCT00920946	2009	dimebon	dimebon	approved				HRH1	approved	repurposing	3
parkinson	NCT00921128	2009	muscimol	muscimol	experimental		0			non	novel, unsup	2
ftd/als	NCT00925847	2009	lithium	lithium	approved		42.12731006160164			non	repurposing	3
alzheimer	NCT00930059	2009	pf-04447943	pf-04447943	experimental		197.86447638603696		PDE9A	non	novel, unsup	2
ftd/als	NCT00931944	2009	kns-760704	dexpramipexole	experimental		296			non	novel, unsup	2
alzheimer	NCT00933608	2009	memantine	memantine	approved	2003	36.86242299794661		GRIN1	approved	post-approval	7
alzheimer	NCT00934050	2009	elnd005 (scyllo-inositol)	scyllo-inositol	experimental		205.8590006844627			non	novel, unsup	2
alzheimer	NCT00937352	2009	bapineuzumab	bapineuzumab	experimental		2840.70636550308	OMIM	APP	non	novel, supported	1
alzheimer	NCT00939783	2009	dimebon	dimebon	approved		593.472963723477		HRH1	approved	repurposing	3
alzheimer	NCT00939822	2009	simvastatin	simvastatin	approved		396.331279945243		HMGCR	approved	repurposing	3
alzheimer	NCT00940589	2009	circadin	melatonin	supplement		267.41683778234085		MTNR1A	approved	metoo	5
parkinson	NCT00943748	2009	deferiprone	deferiprone	approved		79.94524298425736			non	repurposing	3
alzheimer	NCT00945672	2009	pf-04360365 10 mg/kg	ponezumab	experimental		65.93839835728953	OMIM	APP	non	novel, supported	1
parkinson	NCT00947037	2012	ap-cd/ld	ap-cd/ld	experimental				DDC	approved	metoo	5
alzheimer	NCT00948259	2008	np031112	tideglusib	experimental		27.515400410677618		GSK3B	non	novel, unsup	2
alzheimer	NCT00948766	2009	rivastigmine 13.3 mg/24 h (15 cm^2)	rivastigmine	approved	2000	2089.681040383299		ACHE	approved	post-approval	7
alzheimer	NCT00948909	2009	abt-126	abt-126	experimental		297.06776180698154		CHRNA7	approved	metoo	5
alzheimer	NCT00951834	2009	epigallocatechin-gallate	epigallocatechin gallate	experimental		112.05749486652978			non	novel, unsup	2
alzheimer	NCT00954590	2009	dimebon (latrepirdine)	dimebon	approved				HRH1	approved	repurposing	3
parkinson	NCT00955045	2002	istradefylline	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00955318	2009	kw-6500	apomorphine	approved	2004	154.66666666666666		DRD4	approved	post-approval	7
alzheimer	NCT00955409	2009	acc-001	vanutide cridificar	experimental		204.10677618069815	OMIM	APP	non	novel, supported	1
parkinson	NCT00955526	2009	istradefylline	istradefylline	approved	2019	592.3066392881587		ADORA2A	approved	pre-approval	6
alzheimer	NCT00956410	2009	cad106	cad106	experimental		36.681724845995895			non	novel, unsup	2
parkinson	NCT00957203	2009	istradefylline	istradefylline	approved	2019	743.7535934291581		ADORA2A	approved	pre-approval	6
parkinson	NCT00957918	2009	nicotine	nicotine	approved		59.61670088980151		CHRNA4	approved	repurposing	3
alzheimer	NCT00959192	2009	acc-001	vanutide cridificar	experimental		109.42642026009582	OMIM	APP	non	novel, supported	1
alzheimer	NCT00960531	2009	acc-001 (10 mcg) + qs-21	vanutide cridificar	experimental		707.0225872689938	OMIM	APP	non	novel, supported	1
ftd/als	NCT00965497	2009	escitalopram	escitalopram	approved		8.648870636550308		SLC6A4	approved	repurposing	3
alzheimer	NCT00965588	2009	ub 311	ub-311	experimental		41.04312114989733	OMIM	APP	non	novel, supported	1
parkinson	NCT00974974	2009	ipx066	carbidopa,levodopa	combination		704.0821355236139		DRD1	approved	combination	4
alzheimer	NCT00976118	2006	masitinib (ab1010)	masitinib	experimental		102.02327173169063			non	novel, unsup	2
huntington	NCT00980694	2009	ubiquinol	ubiquinol	supplement		16.985626283367555			non	novel, unsup	2
alzheimer	NCT00980785	2009	ramipril	ramipril	approved		31.468856947296374	OTG	ACE	approved	repurposing	3
ftd/als	NCT00982150	2009	talampanel	talampanel	experimental		333.3552361396304			non	novel, unsup	2
alzheimer	NCT00982202	2002	pioglitazone	pioglitazone	approved		75.01711156741958		PPARG	approved	repurposing	3
parkinson	NCT00985517	2009	cere-120: adeno-associated virus delivery of neurturin	cere-120	experimental		458.80903490759755		NRTN	non	novel, unsup	2
parkinson	NCT00986245	2009	ropinirole prolonged release	ropinirole	approved	1997	102.37371663244353		DRD3	approved	post-approval	7
