intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	db_target	db_status	incl_count
decitabine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02441803","NCT02441803")				DNMT1	approved	0
deep brain stimulation	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01782638","NCT01782638")						136
deep brain stimulation	device	27	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04244513","NCT04244513")						136
deep brain stimulation	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01094145","NCT01094145")						136
deep brain stimulation	procedure	6	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02893449","NCT02893449")						136
deep brain stimulation (activa pc, medtronic)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01355835","NCT01355835")						1
deep brain stimulation (basal nucleus of meynert)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03290274","NCT03290274")						1
deep brain stimulation (beijing pins medical co., ltd)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02253043","NCT02253043")						1
deep brain stimulation (dbs)	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01845883","NCT01845883")						0
deep brain stimulation (dbs) of globus pallidus internus (gpi) and best medical treatment (bmt)	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02823158","NCT02823158")						1
deep brain stimulation (fornix)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03290274","NCT03290274")						1
deep brain stimulation (medtronic, activa pc)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01423565","NCT01423565")						1
deep brain stimulation electrode	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00821743","NCT00821743")						1
deep brain stimulation management	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02119611","NCT02119611")						1
deep brain stimulation of the subthalamic nucleus	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00855621","NCT00855621")						1
deep brain stimulation surgery	procedure	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02975193","NCT02975193")						2
deep brain stimulation surgery.	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00586079","NCT00586079")						1
deep brain stimulator	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02278406","NCT02278406")						0
deep rtms	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03504748","NCT03504748")						1
deferiprone	drug	7	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03293069","NCT03293069")					approved	7
deferiprone 600mg delayed release tablets	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03234686","NCT03234686")						1
definity	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04118764","NCT04118764")						1
delivery of oral hygiene advices	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03827551","NCT03827551")						1
delta-9-tetrahydrocannabinol (delta-thc)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01608217","NCT01608217")						1
delta-9-tetrahydrocannabinol (thc) and cannabidiol (cbd)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01502046","NCT01502046")						1
delta-thc	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01302340","NCT01302340")						2
dementia education	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04247347","NCT04247347")						0
dementia-specific advance care planning	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03615027","NCT03615027")						1
dental mouthpiece	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04082663","NCT04082663")						1
deprescribing of target anticholinergics	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04270474","NCT04270474")						1
desensitization therapy for insomnia (dt-i)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04100057","NCT04100057")						1
desipramine (dmi)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")						0
desmotabs	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00806468","NCT00806468")						1
detection of freezing	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02317289","NCT02317289")						1
determination of drug effects through amantadine cessation	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04260581","NCT04260581")						1
device-only fitting	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04049643","NCT04049643")						1
dexmedetomidine	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04205539","NCT04205539")				ADRA2A	approved	4
dexmedetomidine hydrochloride infusion	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00608231","NCT00608231")						1
dexpramipexole	drug	6	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01449578","NCT01449578")					non	2
dexpramipexole (dose 1)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01424176","NCT01424176")						1
dexpramipexole (dose 2)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01424176","NCT01424176")						1
dexpramipexole placebo	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01449578","NCT01449578")						0
dexterity	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02696603","NCT02696603")						0
dexterity training program (homedext)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02297893","NCT02297893")						1
dextroamphetamine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00254033","NCT00254033")				SLC18A2,SLC6A2,SLC6A3	approved	1
dextromethorphan	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00788047","NCT00788047")				SIGMAR1,SIGMAR1,GRIN3A	approved	1
dextromethorphan hbr and quinidine sulfate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03883581","NCT03883581")						1
dextromethorphan hydrobromide 20 mg and quinidine sulfate 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00573443","NCT00573443")						1
dextromethorphan hydrobromide 30 mg and quinidine sulfate 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00573443","NCT00573443")						1
dextromethorphan/quinidine 20mg/10mg (dm/q 20mg/10mg)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03854019","NCT03854019")						1
dha	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03613844","NCT03613844")						1
dha (docosahexaenoic acid)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00440050","NCT00440050")						1
dhp1401	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03055741","NCT03055741")						1
diagnosis of caregivers' problems	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00147693","NCT00147693")						0
diagnosis of mci versus no mci (sci or healthy patient)	diagnostic test	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03138018","NCT03138018")						0
diagnosis variables	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03452618","NCT03452618")						0
diary (for reporting all impulse control disorders especially compulsive eating disorders)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03818243","NCT03818243")						1
diary completion	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02785978","NCT02785978")						0
diet and exercise	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03117829","NCT03117829")						1
different diets	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02274324","NCT02274324")						1
diffusion tensor imaging and fibres tracking	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01794195","NCT01794195")						0
digoxin	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00831506","NCT00831506")				ATP1A1	approved	0
diluent: phosphate buffered saline	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00498602","NCT00498602")						1
dim red light (sun ray sunbox sb-558)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01338649","NCT01338649")						1
dimac02	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02789800","NCT02789800")						1
dimebon	drug	25	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00825084","NCT00825084")						14
dimebon (latrepirdine)	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00954590","NCT00954590")						2
dimebon + dextromethorphan	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00788047","NCT00788047")						0
dimebon + ketoconazole	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00931073","NCT00931073")						1
dimebon + omeprazole	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00931073","NCT00931073")						1
dimebon 20 mg po tid	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00912288","NCT00912288")						1
dimebon alone	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00931073","NCT00931073")						1
dimebon ir	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00990613","NCT00990613")						0
dimebon ir tablet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00988624","NCT00988624")						0
dimebon mr1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00988624","NCT00988624")						0
dimebon mr2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00988624","NCT00988624")						0
dimebon mr3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00988624","NCT00988624")						0
dimebon mr4	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00988624","NCT00988624")						0
dimebon tablet for oral administration	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01066546","NCT01066546")						1
dimebon transdermal	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00990613","NCT00990613")						0
diphenhydramine	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00482053","NCT00482053")					non	0
direct current polarization	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00077896","NCT00077896")						1
direct current stimulation using anodal electrode	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01746498","NCT01746498")						1
direct current stimulation using cathodal electrode	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01746498","NCT01746498")						1
directional and single ring stn-dbs on gait	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04223427","NCT04223427")						1
directional deep brain stimulation of stn	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03548506","NCT03548506")						1
directional stimulation	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02989610","NCT02989610")						1
directstn acute lead connected to external neurostimulator	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01764815","NCT01764815")						1
divalproex	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00208819","NCT00208819")						3
divalproex er	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00375557","NCT00375557")						1
dkf-310	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02695004","NCT02695004")						0
dl-alpha-tocopherol	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00235716","NCT00235716")					approved	2
dm-1992	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01515410","NCT01515410")						1
dmxb-a	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00414622","NCT00414622")						1
dna analysis	genetic	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00354419","NCT00354419")						0
dnl151	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04056689","NCT04056689")						1
dnl201	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03710707","NCT03710707")						1
dnl747	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03757351","NCT03757351")						2
dns-7801 (high dose)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03306329","NCT03306329")						1
dns-7801 (low-dose)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03306329","NCT03306329")						1
docosahexaenoic acid	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02541929","NCT02541929")						1
docosahexaenoic acid (dha)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01563913","NCT01563913")						1
does comparator: regular treatment	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04162990","NCT04162990")						1
dolutegravir	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02437110","NCT02437110")					approved	1
domperidone	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00103597","NCT00103597")				DRD2,DRD3	approved	2
domperidone (drug)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00305331","NCT00305331")						1
donepepzil	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03740178","NCT03740178")						1
donepezil	drug	69	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03810794","NCT03810794")				ACHE	approved	122
donepezil	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00348309","NCT00348309")				ACHE	approved	122
donepezil (aricept)	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00630851","NCT00630851")						2
donepezil (aricept®)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00768261","NCT00768261")						1
donepezil + placebo	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00911807","NCT00911807")						1
donepezil .	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01487395","NCT01487395")						0
donepezil 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00777608","NCT00777608")						1
donepezil 5 - 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00777608","NCT00777608")						1
donepezil 5-10mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00710684","NCT00710684")						1
donepezil 5mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00874939","NCT00874939")						1
donepezil hcl	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02087865","NCT02087865")						3
donepezil hcl (aricept)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00477659","NCT00477659")						1
donepezil hydrochloride	drug	6	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03073876","NCT03073876")						6
donepezil hydrochloride (aricept)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00711204","NCT00711204")						1
donepezil patch	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03197740","NCT03197740")						1
donepezil placebo	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03030105","NCT03030105")						1
donepezil plus placebo	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00959881","NCT00959881")						0
donepezil tds	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03432195","NCT03432195")						0
donepezil tds version a	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02968719","NCT02968719")						0
donepezil tds version b	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02968719","NCT02968719")						0
donepezil tds version d	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02968719","NCT02968719")						0
donepezil tds version e	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02968719","NCT02968719")						0
donepezil,	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01255046","NCT01255046")						1
donepezil, 10 mg tablet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01297036","NCT01297036")						0
donepezil, odt 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01297036","NCT01297036")						0
donezepil (aricept)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00483028","NCT00483028")						1
donor blood stem cells and t cells	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03292445","NCT03292445")						0
donor cd34+ and cd3+ cells	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03707262","NCT03707262")						0
donor fmt	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03808389","NCT03808389")						1
donor lymphocyte infusion (dli)	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00499889","NCT00499889")						0
door cover/floor cover	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00997425","NCT00997425")						1
door frame color test	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03961282","NCT03961282")						1
doorway width test	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03961282","NCT03961282")						1
dopamine agent	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03151460","NCT03151460")						1
dopamine agonists (pramipexole, ropirinole)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02347059","NCT02347059")						1
dopaminergic agonist + apomorphine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03693872","NCT03693872")						1
dopaminergic agonists	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01683253","NCT01683253")						1
doxepin and zopiclone	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01489982","NCT01489982")						1
doxycycline	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00439166","NCT00439166")					non	1
dpa-714-pet/mri	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03457493","NCT03457493")						0
driving decision aid	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04141891","NCT04141891")						1
dronabinol	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00812851","NCT00812851")				CNR1	approved	1
dronabinol (marinol®)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02792257","NCT02792257")						1
droxidopa	drug	14	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03173781","NCT03173781")				ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3	approved	13
droxidopa capsules	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02586623","NCT02586623")						1
drug-drug interaction	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01978327","NCT01978327")						0
drug: e2609	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01294540","NCT01294540")						0
drug: evp-6124	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01969136","NCT01969136")						2
drug: f 18 t807	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02414230","NCT02414230")						0
drug: nic5-15	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01928420","NCT01928420")						1
dry needling	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04101214","NCT04101214")						1
dry needling stimulation	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03320681","NCT03320681")						1
dual task	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03425877","NCT03425877")						4
dual task	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03902990","NCT03902990")						4
dual task (dt) training	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04269590","NCT04269590")						1
dual task group	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02538029","NCT02538029")						1
dual task training	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04115683","NCT04115683")						1
dual-task cognitive-cycling training	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04114318","NCT04114318")						1
dual-task training	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03623841","NCT03623841")						1
duloxetine	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02857244","NCT02857244")				SLC6A4,SLC6A2	approved	2
duloxetine hydrochloride	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00437125","NCT00437125")						1
duoc-01	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02254863","NCT02254863")						0
duodopa	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01291537","NCT01291537")						2
dva	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02663531","NCT02663531")						0
dynacirc cr (isradipine)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00753636","NCT00753636")						1
dynamic standing table	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03045211","NCT03045211")						1
dysphagia detection system	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03387267","NCT03387267")						0
e-tapper tt-r1	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03014050","NCT03014050")						1
e.g., protein and calorie controlled diet; self-hypnotic relaxation	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00663312","NCT00663312")						1
e0302 (mecobalamin)	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00444613","NCT00444613")						3
e2007	drug	10	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01172379","NCT01172379")						10
e2020	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01404169","NCT01404169")						5
e2212	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01221259","NCT01221259")						0
e2609	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01600859","NCT01600859")						1
e: combo: donepezil 10 mg + mk-3134 25 mg + scopolamine 0.5 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01181310","NCT01181310")						0
early cessation of steroids	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01729494","NCT01729494")						0
early nippv	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00116558","NCT00116558")						1
early order of palliative care consultation	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02858778","NCT02858778")						1
early retreatment with atg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01163942","NCT01163942")						0
early stage memory loss support group	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00391794","NCT00391794")						1
easy listener fm system (phonic ear corp.)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02407067","NCT02407067")						1
eating assessment tool-10	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02710162","NCT02710162")						0
ebicomb	combination product	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03954613","NCT03954613")						1
ebixa	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01849042","NCT01849042")						1
ecmo resuscitation	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03700125","NCT03700125")						0
ecocapture	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03272230","NCT03272230")						0
ecological environmental therapy	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02462291","NCT02462291")						1
edaravone	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03272802","NCT03272802")					approved	1
education	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00558402","NCT00558402")						0
education and skill building rehabilitation-mobile (esbr-m)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03417219","NCT03417219")						0
education and supervision	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01217541","NCT01217541")						1
education classes	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01076712","NCT01076712")						1
education control	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00908492","NCT00908492")						0
education only	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03455569","NCT03455569")						1
educational handout	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01532986","NCT01532986")						1
educational intervention on ad	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02685787","NCT02685787")						1
educational lectures	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03269149","NCT03269149")						0
educational materials - patient & clinician	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03984396","NCT03984396")						1
educational program, by telephone	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00105638","NCT00105638")						0
educational seminar	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00391794","NCT00391794")						1
educational sessions	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01038726","NCT01038726")						1
educational training	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03382353","NCT03382353")						1
educational/resources program	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01378195","NCT01378195")						0
eeg	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01880151","NCT01880151")						2
eeg	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01019343","NCT01019343")						2
eeg guided neurofeedback (nfb)	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04017481","NCT04017481")						1
eeg recording	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01476228","NCT01476228")						0
eeg recording	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02236832","NCT02236832")						0
eeg/meg	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03694132","NCT03694132")						0
egb 761® (tanakan®)	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00500500","NCT00500500")						2
egb761®	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00814346","NCT00814346")						1
egcg	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03978052","NCT03978052")						1
eh301	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03489200","NCT03489200")						1
ehpad control	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01143350","NCT01143350")						1
eht 0202 etazolate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00880412","NCT00880412")						1
eim testing	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01900132","NCT01900132")						1
elastic abdominal binder	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01971008","NCT01971008")						1
elastic taping	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03983785","NCT03983785")						1
elderberry juice	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02414607","NCT02414607")						1
