nct	intervention_name	intervention_type
NCT00286624	cyclosporine	drug
NCT02968719	donepezil tds version a	drug
NCT02968719	donepezil tds version b	drug
NCT02968719	aricept	drug
NCT02968719	donepezil tds version d	drug
NCT02968719	donepezil tds version e	drug
NCT02305316	bia 9-1067 non-micronized	drug
NCT02305316	bia 9-1067 micronized	drug
NCT01803945	ave8112	drug
NCT01803945	placebo	drug
NCT00199381	istradefylline	drug
NCT02784145	resistant starch	dietary supplement
NCT02784145	recommendation with regard to nutrition	other
NCT03047629	ent-01	drug
NCT03047629	placebo	other
NCT03747848	cbt group	behavioral
NCT03420807	mhrc	device
NCT01748409	biopsies of peripheral autonomic nervous system	other
NCT01748409	autonomic dysfunction questionnaires	other
NCT01748409	electrophysiological tests	other
NCT02756676	multidisciplinary intensive rehabilitation treatment (mirt)	procedure
NCT01268891	placebo	drug
NCT01268891	azilect®	drug
NCT03459586	9zest app facilitated exercise	other
NCT00088673	3aps	drug
NCT01302340	delta-thc	drug
NCT01302340	placebo	drug
NCT01302340	delta-thc	drug
NCT01883180	atg	drug
NCT03091543	madopar® hbs 125	drug
NCT03091543	placebo	drug
NCT03091543	bia 6-512 25 mg dose	drug
NCT03091543	bia 6-512 50 mg dose	drug
NCT03091543	bia 6-512 100 mg dose	drug
NCT03091543	bia 6-512 200 mg dose	drug
NCT00477659	donepezil hcl (aricept)	drug
NCT01652222	conem-beta + socio-educational training	other
NCT01652222	socio-educational training only	other
NCT03865121	nicotine nasal spray 10 mg/ml (0.5 mg/spray)	drug
NCT02593318	oxaloacetate (oaa)	drug
NCT01900132	eim testing	device
NCT01900132	nerve &amp; muscle ultrasonography	device
NCT01900132	nerve conduction studies	device
NCT01900132	electromyography (emg)	device
NCT02521818	modified atkins diet	other
NCT02521818	nia diet for seniors	other
NCT00701987	als-357	drug
NCT01560585	isotretinoin	drug
NCT02473562	varenicline	drug
NCT02473562	placebo (for varenicline)	drug
NCT02236286	exercise	behavioral
NCT04165824	mt-1186	drug
NCT03954613	ebicomb	combination product
NCT03128450	human neural stem cell	biological
NCT00259454	in-home intervention	behavioral
NCT01024660	donepezil	drug
NCT01024660	donepezil	drug
NCT01024660	placebo to match aricept	drug
NCT00245206	aripiprazole	drug
NCT00245206	olanzapine	drug
NCT00245206	risperidone	drug
NCT01384162	snn0029	drug
NCT01491022	ampyra first, then placebo	drug
NCT01491022	placebo first, then ampyra	drug
NCT00539305	testosterone gel	drug
NCT00539305	placebo gel	drug
NCT03939780	[f18]ro-948	diagnostic test
NCT03939780	[f18]mk-6240	diagnostic test
NCT03939780	[f18]av1451	diagnostic test
NCT00777608	comparator: placebo 5mg (run in)	drug
NCT00777608	donepezil 5 - 10 mg	drug
NCT00777608	comparator: placebo 5-10 mg	drug
NCT00777608	donepezil 10 mg	drug
NCT01066481	pf-01913539 5 mg	drug
NCT01066481	pf-01913539 5 mg	drug
NCT01066481	placebo	drug
NCT03079960	electrophysiological recording and measurement devices	device
NCT03393546	auricular point acupressure	behavioral
NCT02868567	dalfampridine	drug
NCT00185796	total lymphoid irradiation (tli)	procedure
NCT00185796	anti-thymocyte globulin as conditioning (atg)	procedure
NCT02899091	cb-ac-02	biological
NCT02899091	placebo	biological
NCT02869945	identification of comt hh, comt hl or comt ll genes	genetic
NCT02869945	brain mri with resting state scan	other
NCT02869945	brain mpet	other
NCT00560287	non invasive ventilation delivered with one of the ventilator specifically designed for niv and given to the patient by the home care providers	device
NCT00560287	non invasive ventilation	device
NCT00855868	florbetapir f 18	drug
NCT00855868	[11c]-pib	drug
NCT00642928	placebo	drug
NCT00642928	bf 2.649 5 mg	drug
NCT00642928	bf 2.649 10 mg	drug
NCT00642928	bf 2.649 20 mg	drug
NCT00642928	bf 2.649 40 mg	drug
NCT00159172	motor cortex stimulation	device
NCT04197947	neuro omega	device
NCT03665454	pf-06412562	drug
NCT03665454	standard of care placebo	drug
NCT00611312	cognitive training	behavioral
NCT00164749	placebo and ginkgo extract	drug
NCT00164749	curcumin and ginkgo extract	drug
NCT00164749	curcumin and ginkgo extract	drug
NCT03711825	lyn-057	drug
NCT03711825	imaging assessment (mri)	procedure
NCT03711825	imaging assessment (u/s)	procedure
NCT01372228	hematopoietic stem cell infusion	biological
NCT00697684	antithymocyte globulin	drug
NCT00697684	clofarabine	drug
NCT00697684	clofarabine	drug
NCT00697684	clofarabine	drug
NCT03040713	18f-av-1451	drug
NCT03040713	18f-av-45	drug
NCT04108741	c-mill augmented reality treadmill training	device
NCT00274131	pramipexole 0.125 mg tablets	drug
NCT00274131	pramipexole 0.5 mg tablets	drug
NCT00409721	memantine	drug
NCT00937846	gsk1034702	drug
NCT03487263	ic14	biological
NCT02891343	2-hour period of hypoxia	other
NCT03001232	movement-oriented dementia care	behavioral
NCT00853879	folic acid, vitamin b6, vitamin b12	dietary supplement
NCT00853879	b6, b12, l-methylfolate	dietary supplement
NCT00853879	b6, b12, placebo	dietary supplement
NCT00369603	razadyne er	drug
NCT00369603	aricept	drug
NCT02702102	11c-pbr28	drug
NCT04048122	multicontext for pd strategy training	behavioral
NCT04048122	standard of care	behavioral
NCT01680588	[18f]nav4694	drug
NCT00381238	rosiglitazone	drug
NCT00488657	speecheasy model itc	device
NCT03672474	photobiomodulation regenlife rgn530 device	device
NCT03672474	sham regenlife rgn530 device	device
NCT00790582	lithium carbonate	drug
NCT02380703	aggression prevention training (apt)	behavioral
NCT02380703	enhanced usual primary care (eu-pc)	other
NCT02992132	pimavanserin 34 mg	drug
NCT02992132	pimavanserin 20 mg	drug
NCT02992132	placebo	other
NCT02851914	tricyclic antidepressants ("tca")	drug
NCT02851914	selective serotonin uptake inhibitors ("ssri")	drug
NCT01360229	acupuncture	procedure
NCT01360229	acupuncture to treat fatigue in parkinson disease	other
NCT02770482	spinal fluid collection	biological
NCT00647296	kns-760704	drug
NCT00647296	kns-760704	drug
NCT00647296	kns-760704	drug
NCT00647296	placebo	drug
NCT01257581	creatine	drug
NCT01257581	tamoxifen	drug
NCT00385684	hydrocodone/apap w placebo prn	drug
NCT00385684	hydrocodone/apap	drug
NCT00385684	placebo with hydrocodone/apap prn	drug
NCT01864655	saracatinib	drug
NCT01864655	placebo	drug
NCT03461276	abvac40	biological
NCT03461276	placebo	biological
NCT03227185	real anodal transcranial direct current stimulation (tdcs)	device
NCT03227185	sham transcranial direct current stimulation (tdcs)	device
NCT00479557	acc-001 + qs-21	biological
NCT00479557	acc-001	biological
NCT00479557	qs-21	biological
NCT00479557	placebo: phosphate buffered saline	drug
NCT03661125	saracatinib	drug
NCT03661125	placebo oral tablet	drug
NCT01723228	rasagiline	drug
NCT01723228	placebo	drug
NCT02954978	placebo oral capsule	drug
NCT02954978	nilotinib 150mg oral capsule [tasigna]	drug
NCT02954978	nilotinib 300mg oral capsule [tasigna]	drug
NCT03162874	placebo oral capsule	drug
NCT03162874	pxt002331 - dose 1	drug
NCT03162874	pxt002331 - dose 2	drug
NCT03089918	11c-jnj-63779586	drug
NCT04237025	nordic walking exercise	other
NCT04045080	amadeo	device
NCT04045080	training	other
NCT04045080	ot training	other
NCT00360308	placebo	drug
NCT00360308	e2007	drug
NCT00360308	e2007	drug
NCT03282916	valacyclovir	drug
NCT03282916	placebo	drug
NCT03653871	performing arts instruction	behavioral
NCT01119131	vitamin d3	drug
NCT01119131	calcium	dietary supplement
NCT01119131	placebo	other
NCT02939391	kw-6356	drug
NCT02939391	kw-6356	drug
NCT02939391	placebo	drug
NCT03651856	atm fog in pd	drug
NCT01701089	11c-l-deprenyl-d2	drug
NCT01701089	ro4602522	drug
NCT01701089	ro4602522	drug
NCT04041193	sidera^b	behavioral
NCT04041193	usual care program	behavioral
NCT00537485	spm 962	drug
NCT00537485	placebo	drug
NCT00895895	placebo	drug
NCT00895895	sam-531 1.5 mg	drug
NCT00895895	sam-531 3.0 mg	drug
NCT00895895	sam-531 5.0 mg	drug
NCT00895895	donepezil	drug
NCT03550183	mesenchymal stem cells	biological
NCT00239746	ibuprofen	drug
NCT00239746	placebo	drug
NCT02549196	donepezil	drug
NCT02549196	solifenacin	drug
NCT02918292	antithymocyte globulin (atg)	drug
NCT02918292	fludarabine	drug
NCT02918292	cyclophosphamide	drug
NCT02918292	total body irradiation (tbi)	radiation
NCT02918292	haplo hsct	procedure
NCT02918292	tacrolimus	drug
NCT02918292	mycophenolate mofetil (mmf)	drug
NCT02918292	g-csf	drug
NCT02943850	stem cell (hpc) implantation	biological
NCT02943850	stereotactic surgical device	device
NCT03597360	ct scan	radiation
NCT00663936	t-817ma	drug
NCT00663936	placebo	drug
NCT00377715	dimebon	drug
NCT00377715	placebo	drug
NCT03361410	grape powder	dietary supplement
NCT03361410	placebo powder	dietary supplement
NCT01617135	cvt-301	drug
NCT01617135	placebo	drug
NCT01617135	sinemet (carbidopa/levodopa)	drug
NCT01617135	cvt-301	drug
NCT04094129	wismemo	dietary supplement
NCT04094129	placebo	dietary supplement
NCT04294797	blood draw	diagnostic test
NCT00948909	placebo	drug
NCT00948909	abt-126	drug
NCT00948909	donepezil	drug
NCT02278367	18f-av-1451	drug
NCT02959489	alzheimer's disease risk disclosure	behavioral
NCT02959489	amyloid brain imaging and alzheimer's disease risk disclosure	behavioral
NCT02006472	pridopidine	drug
NCT02006472	placebo	other
NCT02915939	the residential care transition module	behavioral
NCT02382198	glycopyrrolate	drug
NCT02382198	placebo	drug
NCT00642356	carbidopa/levodopa/entacapone	drug
NCT00642356	immediate release carbidopa/levodopa	drug
NCT01652534	amantadine	drug
NCT01652534	placebo	drug
NCT01076452	bilateral deep brain stimulation	device
NCT01931566	pioglitazone	drug
NCT01931566	pioglitazone placebo	drug
NCT01023425	donepezil	drug
NCT00574054	far infrared	radiation
NCT01772537	propofol	drug
NCT01772537	isoflurane	drug
NCT00279825	ipx054 200 mg	drug
NCT00279825	ipx054 250 mg	drug
NCT00279825	cd-ld ir	drug
NCT00279825	cd-ld cr	drug
NCT00279825	ipx054 200 mg placebo	drug
NCT00279825	ipx054 250 mg placebo	drug
NCT00279825	cd-ld ir placebo	drug
NCT00279825	cd-ld cr placebo	drug
NCT01449578	dexpramipexole	drug
NCT01449578	dexpramipexole placebo	drug
NCT03095417	physical exercise intervention	behavioral
NCT03095417	cognitive training intervention	behavioral
NCT03095417	stretching control	behavioral
NCT03095417	cognitive control	behavioral
NCT00494962	lecozotan sr	drug
NCT01073228	evp-6124	drug
NCT01073228	placebo	drug
NCT02496312	evaluation of apathy close to real life situation	behavioral
NCT02727478	hibalance training program	other
NCT01255046	donepezil,	drug
NCT01255046	sta-1	drug
NCT01255046	placebo	drug
NCT03197740	donepezil patch	drug
NCT03197740	aricept tab	drug
NCT02847442	bia 9-1067	drug
NCT02847442	levodopa/dopa decarboxylase inhibitor	drug
NCT04116177	deep brain stimulation	device
NCT02647242	auto rehabilitation program of gait with beat health device.	behavioral
NCT00863148	clofarabine in combination with iv busulfan and atg	drug
NCT01565343	florbetapir f 18	drug
NCT01359774	31p-mr spectroscopy	other
NCT01359774	31p-rmn spectroscopy	other
NCT03173781	droxidopa	drug
NCT03173781	placebo	drug
NCT00782821	rabbit antithymocyte globulin	drug
NCT00782821	velcade	drug
NCT00782821	rituxan	drug
NCT03434327	strength training	other
NCT03434327	power training	other
NCT03016702	cognitive stress tests during functional mri	other
NCT03016702	cognitive stress tests during gait task	other
NCT04293159	lactobacillus casei dg (enterolactis duo®)	dietary supplement
NCT01386333	oxytocin	drug
NCT01386333	saline nasal mist	drug
NCT04157712	alz-801 or matching placebo	drug
NCT02230930	apomorphine 0.25% (2.5mg/ml)	drug
NCT02230930	massage with a spiky ball	device
NCT02230930	hydrocortisone cream 1%	drug
NCT02230930	subcutaneous hydrocortisone 10mg	drug
NCT03582371	stand-up paddle rehabilitation	procedure
NCT03582371	physiotherapy rehabilitation	procedure
NCT02431468	bryostatin 1	drug
NCT02431468	placebo	other
NCT00637442	reminyl retard	drug
NCT03903211	[18f]pi-2620	drug
NCT01478633	galantamine	drug
NCT03777722	tailored lighting intervention	device
NCT01231841	cyclosporine	drug
NCT01231841	anti-thymocyte globulin	biological
NCT01238458	[18f]av-45 pet amyloid binding imaging	drug
NCT00991419	[18f]azd4694	drug
NCT00472355	apomorphine	drug
NCT01856803	anti thymoglobulin	drug
NCT03371420	pu-ad	drug
NCT03371420	pet scan	device
NCT03371420	blood draws	other
NCT01548430	ttp4000	drug
NCT01548430	placebo	drug
NCT01730716	human spinal cord stem cell implantation	device
NCT01568047	placebo	drug
NCT01568047	bia 9-1067	drug
NCT01568047	bia 9-1067	drug
NCT01568047	bia 9-1067	drug
NCT01568047	levodopa/carbidopa	drug
NCT01568047	levodopa/benzerazide	drug
NCT04220021	metformin	drug
NCT00689637	azd3480	drug
NCT00689637	placebo	drug
NCT00689637	warfarin	drug
NCT00956488	treadmill exercise	behavioral
NCT03000569	sage-217	drug
NCT03900000	physiotherapy	other
NCT01951924	biological : i10e (human normal immunoglobulin for intravenous administration 100mg/ml)	drug
NCT01951924	biological: kiovig® (human normal immunoglobulin for intravenous administration 100mg/ml)	drug
NCT03425877	ms band 2	device
NCT03425877	emotion assessment	behavioral
NCT03425877	single task	behavioral
NCT03425877	dual task	behavioral
NCT03425877	rest	behavioral
NCT03587974	reach-vietnam	behavioral
NCT02297035	behavioural testing	behavioral
NCT02297035	brain imaging	other
NCT02297035	genetic screening	genetic
NCT01812213	[18f]nav4694	drug
NCT00759863	lifezig	behavioral
NCT00304161	atomoxetine	drug
NCT00304161	placebo	drug
NCT02670161	listed for each disorder below, up to three drugs per disorder (too many characters to list in this field; see intervention description)	drug
NCT00766363	evp-6124 (0.1 mg/day)	drug
NCT00766363	evp-6124 (0.3 mg/day)	drug
NCT00766363	evp-6124 (1.0 mg/day)	drug
NCT00766363	comparator: placebo	drug
NCT00766363	donepezil	drug
NCT00766363	rivastigmine	drug
NCT04171804	transcranial direct current stimulation	device
NCT00640952	acamprosate	drug
NCT02686216	f-18 thk-5351	drug
NCT01758510	hynr-cs-allo	genetic
NCT00134966	capsules containing: carbidopa (25 mg), levodopa (100 mg), entacapone (200 mg)	drug
NCT00721383	enhancing physical activity intervention	behavioral
NCT00721383	csbi	behavioral
NCT02346708	real tms	device
NCT02346708	sham tms	device
NCT03652363	glial cell line-derived neurotrophic factor	drug
NCT03337464	cycling exercise	other
NCT00043849	quetiapine	drug
NCT03800108	personalized dbs adjustments	procedure
NCT01696123	mlc601	drug
NCT00635960	growth hormone (somatropin)	drug
NCT00635960	placebo	drug
NCT03721705	renew ncp-5	device
NCT02166827	neuroad	device
NCT02166827	sham tms+cog	device
NCT04082611	data-driven clinical recommendations	behavioral
NCT04082611	coached data-driven clinical recommendations	behavioral
NCT01370811	oc oral solution treatment a	drug
NCT01370811	oc oral solution treatment b	drug
NCT01370811	oc oral solution treatment c	drug
NCT01370811	oc oral solution treatment d	drug
NCT00406588	levodopa (pardoprunox)	drug
NCT00406588	placebo comparator	drug
NCT02305017	bia 9-1067	drug
NCT02305017	paracetamol	drug
NCT02553525	therapeutic stimulation patterns	procedure
NCT02553525	symptogenic stimulation patterns	procedure
NCT00674895	far infrared radiation (5μm to 20μm wavelength)	radiation
NCT02051764	18f-av-1451	drug
NCT02051764	florbetapir f 18	drug
NCT04052737	normal saline along with standard treatment	drug
NCT04052737	pmz-1620 (sovateltide) along with standard treatment	drug
NCT01071395	amantadine	drug
NCT01071395	placebo	drug
NCT02687542	placebo	drug
NCT02687542	pf-06649751 low dose (1 mg qd)	drug
NCT02687542	pf-06649751 middle dose 1 (3 mg qd)	drug
NCT02687542	pf-06649751 middle dose 2 (7 mg qd)	drug
NCT02687542	pf-06649751 high dose (15 mg qd)	drug
NCT03786510	active control	behavioral
NCT03786510	intensive + maintenance program	behavioral
NCT03786510	intensive program only	behavioral
NCT01297218	human umbilical cord blood derived-mesenchymal stem cells	biological
NCT02672306	ucmscs	biological
NCT02672306	placebo	biological
NCT03240406	multicultural healthy diet	other
NCT03240406	usual diet plus self-care	other
NCT03153540	active itbs	device
NCT03153540	sham itbs	device
NCT03793868	perampanel	drug
NCT03793868	placebo	other
NCT03741543	a 12-week health promotion course	other
NCT03675932	rapid cadence cycling on a solo-rider spin bicycle	other
NCT02878486	jawbone up	device
NCT02878486	physical activity education	behavioral
NCT02878486	activpal	device
NCT00001964	cyclosporine a	drug
NCT00001964	atg	drug
NCT00001964	mmf	drug
NCT03872414	anterior cingulate cortex activation	behavioral
NCT03872414	primary auditory cortex activation	behavioral
NCT03252535	cellavita hd lower dose	biological
NCT03252535	cellavita hd higher dose	biological
NCT03252535	placebo	other
NCT02760602	solanezumab	drug
NCT02760602	placebo	drug
NCT02444637	rivastigmine	drug
NCT01550718	esml-ex (physical activity program)	behavioral
NCT01550718	esml-social (social activity program)	behavioral
NCT01350362	tideglusib	drug
NCT01350362	tideglusib	drug
NCT01350362	tideglusib	drug
NCT01350362	placebo	drug
NCT00715858	doxycycline	drug
NCT00715858	rifampin	drug
NCT00715858	placebo	drug
NCT02556164	electroacupuncture	procedure
NCT02556164	body-worn sensor technology	other
NCT02472210	botulinum toxin	drug
NCT01606488	florbetapir f 18 (18f-av-45)	drug
NCT01606488	no intervention	other
NCT02640729	nelotanserin	drug
NCT02640729	placebo	drug
NCT01939717	dance group	other
NCT02056938	anti-thymocyte globulins treatment	drug
NCT02056938	basiliximab treatment	drug
NCT00235716	dl-alpha-tocopherol	drug
NCT00235716	memantine	drug
NCT00235716	dl-alpha-tocopherol	drug
NCT00235716	memantine	drug
NCT00235716	placebo	drug
NCT00643890	bilateral surgical infusion of aav-gad into the subthalamic nucleus	genetic
NCT03984396	educational materials - patient & clinician	other
NCT03993041	cognitive-behavioral therapy (cbt)	behavioral
NCT03587649	[18f]mni-1126	drug
NCT02539784	kit for spinal cord stimulator system " scs systems " : precision® system	device
NCT03515213	fenofibrate	drug
NCT03515213	placebo	drug
NCT00604591	tolcapone	drug
NCT00604591	placebo	drug
NCT00107770	sodium phenylbutyrate	drug
NCT02893449	social adaptation	behavioral
NCT02893449	intensive care management	behavioral
NCT02893449	deep brain stimulation	procedure
NCT03395860	atg	drug
NCT00505622	perampanel	drug
NCT03514875	mitoq	dietary supplement
NCT03514875	placebo	dietary supplement
NCT01970150	rtms real	device
NCT02134795	tnm (trade name), a form of brainstem stimulation	device
NCT00001365	dextromethorphan	drug
NCT01338649	bright light treatment (sun ray sunbox sb-558)	device
NCT01338649	dim red light (sun ray sunbox sb-558)	device
NCT00403520	experimental 1	drug
NCT00403520	placebo comparator	drug
NCT01363882	sleep study-guided adjustment of niv	other
NCT01363882	standard initiation of niv	other
NCT02152319	khv reporting	device
NCT02152319	standard care	procedure
NCT03094910	examination of vibration perception threshold in fingertips	diagnostic test
NCT03094910	ewing's tests	diagnostic test
NCT03094910	tilt table test	diagnostic test
NCT03094910	thermography	diagnostic test
NCT03094910	123i-mibg	diagnostic test
NCT03094910	blood samples	diagnostic test
NCT03985631	rehabilitation intervention	other
NCT03665909	remote activity monitoring system	other
NCT00455507	istradefylline	drug
NCT00455507	istradefylline	drug
NCT00455507	placebo	drug
NCT02388152	lu af20513, low dose	drug
NCT02388152	lu af20513, medium dose	drug
NCT02388152	lu af20513, high dose	drug
NCT02388152	lu af20513, double high dose	drug
NCT04172792	high-caloric fatty diet	dietary supplement
NCT04172792	ultra-high-caloric fatty diet	dietary supplement
NCT04172792	ultra-high-caloric carbohydrate-rich diet	dietary supplement
NCT02442765	avp-786	drug
NCT02442765	placebo	drug
NCT02095171	prx002	drug
NCT02095171	placebo	other
NCT01920672	timed planned activity	behavioral
NCT01920672	home safety and education program	behavioral
NCT03774459	high dose anavex2-73	drug
NCT03774459	mid dose anavex2-73	drug
NCT03774459	placebo oral capsule	drug
NCT03451591	isosorbide mononitrate xl (ismn)	drug
NCT03451591	cilostazol	drug
NCT03451591	ismn xl and cilostazol	drug
NCT03451591	neither ismn nor cilostazol	other
NCT03823404	cor388 capsule	drug
NCT03823404	placebo capsule	drug
NCT04259203	erickson hypnosis	behavioral
NCT04277689	brain signal data collection	procedure
NCT02278406	deep brain stimulator	other
NCT02894567	intraoperative test during a deep brain stimulation surgery	device
NCT04191486	t-817ma	drug
NCT04191486	placebo	drug
NCT03455569	behavioral sleep education	behavioral
NCT03455569	education only	behavioral
NCT01168466	qeeg-based neurofeedback training	behavioral
NCT02183519	capsaicin	drug
NCT02183519	voluntary cough test	other
NCT01268020	[18f]-fmh3	drug
NCT03658135	biib092	drug
NCT03658135	placebo	other
NCT00000597	antilymphocyte serum	drug
NCT00000597	nandrolone	drug
NCT00979446	guided	behavioral
NCT00979446	self-directed	behavioral
NCT02305030	bia 9-1067	drug
NCT02305030	warfarin	drug
NCT02055261	low frequency dbs of the pedunculopontine nucleus	device
NCT02439853	monthly check-in session	behavioral
NCT00940589	circadin	drug
NCT00940589	placebo	drug
NCT00324454	levetiracetam	biological
NCT00466843	antithymocyte globulin (atg)	drug
NCT00466843	prednisone	drug
NCT03790670	sargramostim	drug
NCT04288024	weight-shifting training	behavioral
NCT00611481	tai chi	behavioral
NCT00611481	strength training	behavioral
NCT00611481	low-impact exercise control	behavioral
NCT03028324	transcranial magnetic stimulation (tms)	device
NCT01202994	18f-flutemetamol	drug
NCT01825317	neuroad	device
NCT01825317	sham device	device
NCT02424669	als functional rating scale-revised (als frs-r)	other
NCT02424669	slow vital capacity	other
NCT02424669	blood sample	other
NCT02424669	cerebrospinal fluid (csf) sample	other
NCT04134923	[11c] pittsburgh compound-b (pib)	drug
NCT03582670	strategy training	behavioral
NCT03582670	process training	behavioral
NCT03582670	control group	behavioral
NCT01047579	rivastigmine transdermal	drug
NCT02434718	aducanumab	drug
NCT02434718	placebo	drug
NCT03624920	thn102 dosage a	drug
NCT03624920	thn102 dosage b	drug
NCT03624920	thn102 dosage c	drug
NCT03955380	contraloid	drug
NCT00505687	rotigotine	drug
NCT00753636	dynacirc cr (isradipine)	drug
NCT00921128	muscimol	drug
NCT02704910	subthalamic stimulation	behavioral
NCT00596024	lutein/zeaxanthin	dietary supplement
NCT00596024	placebo	dietary supplement
NCT02127476	khk6640	drug
NCT02127476	matching placebo	drug
NCT00947934	deep brain stimulation	device
NCT04220762	win-1001x	drug
NCT04220762	placebo	drug
NCT03791983	scalp acupuncture	other
NCT03791983	body acupenture	other
NCT01727687	behavioral training for crossing road	behavioral
NCT01764243	mt-4666	drug
NCT01764243	placebo	drug
NCT02941289	visual search performance of everyday objects in realistic scenes	procedure
NCT00016419	anti-thymocyte globulin	biological
NCT00016419	cyclosporine	drug
NCT00234637	rivastigmine, memantine	drug
NCT00004576	ly300164	drug
NCT03724942	brexpiprazole	drug
NCT00350402	respiratory muscle strength training	behavioral
NCT01614886	active comparator	drug
NCT01614886	ena713	drug
NCT04140760	symprove	other
NCT04140760	symprove placebo product	other
NCT03353688	boston scientific vercise pc ipg with directional dbs lead	device
NCT02823158	deep brain stimulation (dbs) of globus pallidus internus (gpi) and best medical treatment (bmt)	procedure
NCT02823158	best medical treatment	procedure
NCT01430286	psycho-social intervention based on a web-based psycho-educational program, called diapason.	behavioral
NCT01430286	consultation in memory clinic	behavioral
NCT03720548	ly3372993	drug
NCT03720548	placebo	drug
NCT02469350	serious game	other
NCT01872182	als-l1023	drug
NCT01872182	placebo	drug
NCT00190450	graft intracerebral of foetal neurons	biological
NCT01898390	transplant	procedure
NCT03808389	donor fmt	other
NCT03808389	autologous fmt	other
NCT01776970	cannabis sativa extract oromucosal spray	drug
NCT00348309	rosiglitazone extended release 2mg	drug
NCT00348309	rosiglitazone extended release 8mg	drug
NCT00348309	placebo	other
NCT00348309	donepezil	other
NCT02349191	omental transposition for mild alzheimers disease	procedure
NCT03212885	deep brain stimulation	device
NCT00621010	cts21166 (zpq-21166)	drug
NCT00758368	apomorphine	drug
NCT03986671	transmembrane emg oropharynx probe	device
NCT04093544	deep brain stimulation	device
NCT01028911	pf-03654746	drug
NCT01028911	placebo	drug
NCT00522379	rotigotine	drug
NCT00522379	rotigotine	drug
NCT00522379	placebo	other
NCT00522379	rotigotine	drug
NCT00522379	rotigotine	drug
NCT03296501	cell-based therapy of autologous adipose derived regenerative cells transplanted intraspinally and intrathecally in als patients	biological
NCT00182897	skills building for caregiver health and care-recipient	behavioral
NCT02424929	sedation	procedure
NCT02424929	original surgery	procedure
NCT00129181	cabergoline	drug
NCT00129181	carbidopa/levodopa	drug
NCT00129181	datscan and spect imaging	procedure
NCT02792179	[18f]ro6958948	drug
NCT00272688	levodopa (drug), intraduodenal administration	drug
NCT00082342	phoressor ii (iomed)	device
NCT00082342	phoressor ii (iomed)	device
NCT04106544	investigational procedures	procedure
NCT02271503	cd-ld ir	drug
NCT02271503	ipx203 180 mg	drug
NCT02271503	ipx203 270 mg	drug
NCT02271503	rytary 195 mg	drug
NCT02271503	rytary 145 mg	drug
NCT03472950	ranolazine 500 mg	drug
NCT03472950	ranolazine 1000 mg	drug
NCT03087526	non invasive prenatal diagnosis	genetic
NCT00515099	antithymocyte globulin	drug
NCT00515099	placebo	drug
NCT01504854	resveratrol	drug
NCT01504854	placebo	drug
NCT00330694	parknet	other
NCT00330694	usual care	other
NCT00103597	fludrocortisone	drug
NCT00103597	domperidone	drug
NCT00103597	conservative measures for orthostatic hypotension	behavioral
NCT01105273	anti-thymocyte globulin	biological
NCT01105273	filgrastim	biological
NCT01105273	fludarabine	drug
NCT01105273	cyclophosphamide	drug
NCT01105273	cd3±cd19 depleted hematopoietic stem cell transplantation	procedure
NCT02385500	fesoterodine	drug
NCT02385500	placebo	drug
NCT02045056	gemfibrozil	drug
NCT02045056	placebo	drug
NCT01469351	liraglutide	drug
NCT01469351	non-active study drug	drug
NCT02991235	prj212	dietary supplement
NCT02991235	placebo	dietary supplement
NCT01867827	neurofeedback and physical exercise	other
NCT01867827	physical exercise	other
NCT01999803	snn0029	drug
NCT01999803	placebo	drug
NCT02168920	2 mg/day	drug
NCT02168920	3 mg/day	drug
NCT02168920	6 mg/day	drug
NCT02168920	placebo (0 mg/day)	drug
NCT02195596	high intensity aerobic exercise+strength	other
NCT02195596	low intensity aerobic exercise+strength	other
NCT00335166	pardaprunox	drug
NCT00335166	pramipexole	drug
NCT00335166	placebo comparator	drug
NCT03371706	evidence-based treatment	behavioral
NCT00616954	atg-f	drug
NCT03289377	rdad training	behavioral
NCT02306863	vibrating chair	device
NCT02306863	sham treatment	device
NCT02786667	rotigotine	drug
NCT02786667	placebo	drug
NCT02884492	18f-thk-5351	drug
NCT02884492	lumbar puncture (optional)	procedure
NCT01903421	spinal anesthesia group: bupivacaine 10-15mg	drug
NCT01903421	general anesthesia group: induction propofol 1.5-2mg/kg and fentanyl 1-3g/kg, maintained with isoflurane or sevoflurane	drug
NCT01903421	blood test	genetic
NCT01903421	lumbar spinal tap	other
NCT01903421	montreal cognitive assessment (moca) and mmse	behavioral
NCT00855686	memantine	drug
NCT00855686	placebo	drug
NCT00875316	cogane™ (pym50028)	drug
NCT00738062	droxidopa	drug
NCT00738062	placebo	drug
NCT02017938	virtual reality anti-fatigue ergo cycling training (self-made)	procedure
NCT00191009	atomoxetine hydrochloride	drug
NCT00191009	placebo	drug
NCT01000038	wii-fit intervention	other
NCT01000038	walking	other
NCT03343574	abdominal strengthening exercise	other
NCT01227681	g-csf	drug
NCT01227681	placebo	drug
NCT04203121	low dose whole brain radiation to treat alzheimer disease	radiation
NCT01280123	pioglitazone	drug
NCT01280123	placebo	drug
NCT02594540	mechanical peripheral stimulation (gondola)	device
NCT01458470	memantine	drug
NCT01458470	placebo	other
NCT02769793	levodopa dispersible	drug
NCT02769793	levodopa	drug
NCT04285099	application of dual system in frequency a	device
NCT04285099	application of dual system in frequency b	device
NCT03436953	cx-8998	drug
NCT03436953	placebo	drug
