intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments
consulting with parkinsun as communication aid-tool	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04179695","NCT04179695")			
consulting without parkinsun as communication aid-tool	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04179695","NCT04179695")			
contact and testing only	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01696019","NCT01696019")			
continuous apomorphine infusion	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01039090","NCT01039090")			
continuous dbs (activa pc+s neurostimulator)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02384421","NCT02384421")			
continuous intrajejunal infusion of levodopa-carbidopa	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02480803","NCT02480803")			
continuous moderate intensity training	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03940261","NCT03940261")			
continuous positive airway pressure (cpap)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00492115","NCT00492115")			
continuous positive airway pressure (cpap)	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01962779","NCT01962779")			
continuous positive airway pressure device	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02474251","NCT02474251")			
continuous release dopamine agonists	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00465452","NCT00465452")			
continuous subcutaneous lisuride infusion	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00408915","NCT00408915")			
continuous training	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00784563","NCT00784563")			
contraloid	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03955380","NCT03955380")			
control	behavioral	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03308032","NCT03308032")			
control	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03069911","NCT03069911")			
control	device	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00946530","NCT00946530")			
control	other	13	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01568099","NCT01568099")			
control (con)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03723707","NCT03723707")			
control - cognitive training in a practitioner's office one time per week	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04010175","NCT04010175")			
control arm	other	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04087031","NCT04087031")			
control condition	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03333252","NCT03333252")			
control group	behavioral	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02521558","NCT02521558")			
control group	other	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01363401","NCT01363401")			
control group	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03741959","NCT03741959")			
control group (global muscle stretching)	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02763891","NCT02763891")			
control group (tdcs sham)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02250690","NCT02250690")			
control group: treatment as usual	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01731717","NCT01731717")			
control group: usual care	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03570268","NCT03570268")			
control intervention	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01749917","NCT01749917")			
control light device	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02175472","NCT02175472")			
control parkinson group	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03193489","NCT03193489")			
control training	behavioral	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03565965","NCT03565965")			
control with delayed intervention	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02697721","NCT02697721")			
control with no intervention	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02833870","NCT02833870")			
control: placebo	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01117818","NCT01117818")			
controlled diet	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00190372","NCT00190372")			
controlled environment tests (series of tasks of everyday life)	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02785978","NCT02785978")			
controlled-release levodopa / carbidopa	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00174239","NCT00174239")			
convection enhanced delivery/aav2-gdnf	genetic	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01621581","NCT01621581")			
conventional	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03977740","NCT03977740")			
conventional dbs	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03724734","NCT03724734")			
conventional deep brain stimulation	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03422757","NCT03422757")			
conventional exercise	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03294031","NCT03294031")			
conventional intervention	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02671396","NCT02671396")			
conventional physical therapy	behavioral	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04204551","NCT04204551")			
conventional physical therapy	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04046276","NCT04046276")			
conventional physical training	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03921359","NCT03921359")			
conventional physical treatment	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02164162","NCT02164162")			
conventional physiotherapy	other	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02786433","NCT02786433")			
conventional rehabilitation	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03960931","NCT03960931")			
conventional rehabilitation program	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02807740","NCT02807740")			
conventional therapy	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02516644","NCT02516644")			
conventional therapy	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02797496","NCT02797496")			
coordinated care management for parkinson's disease	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01532986","NCT01532986")			
cope online training	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04165213","NCT04165213")			
coping effectiveness training - als	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01583205","NCT01583205")			
copper	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00608946","NCT00608946")			
coq10	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00076492","NCT00076492")			
cor388	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03418688","NCT03418688")			
cor388 capsule	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03823404","NCT03823404")			
cord blood infusion	procedure	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01362452","NCT01362452")			
core stability	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03580096","NCT03580096")			
cough assessment in als patients	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02495571","NCT02495571")			
cough assist	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02682030","NCT02682030")			
counseling	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02107638","NCT02107638")			
counseling (c)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02585232","NCT02585232")			
counselling on a brain-healthy diet	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03382353","NCT03382353")			
cpap adherence intervention	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01482351","NCT01482351")			
cpc-201	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02860065","NCT02860065")			
cr1 impact	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01565434","NCT01565434")			
cranial electric stimulation (ces)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01100762","NCT01100762")			
creatine	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01257581","NCT01257581")			
creatine monohydrate	drug	7	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00069186","NCT00069186")			
crenezumab	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02670083","NCT02670083")			
crenezumab (ro5490245)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03491150","NCT03491150")			
crenezumab dose level 1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02353598","NCT02353598")			
crenezumab dose level 2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02353598","NCT02353598")			
crenezumb dose level 3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02353598","NCT02353598")			
csa	drug	4	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02099747","NCT02099747")			
csbi	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00721383","NCT00721383")			
ct scan	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03597360","NCT03597360")			
ct1812	drug	4	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02570997","NCT02570997")			
ctc-413	combination product	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03683225","NCT03683225")			
cts21166 (zpq-21166)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00621010","NCT00621010")			
ctx	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03689465","NCT03689465")			
cu(ii)atsm	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02870634","NCT02870634")			
cue - visual and auditory	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03249155","NCT03249155")			
cupping massage	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01500330","NCT01500330")			
curcum.luteol.theaflav.lip.acid,fishoil,quercet.,resveratr.	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01716637","NCT01716637")			
curcumin	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01811381","NCT01811381")			
curcumin and ginkgo extract	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00164749","NCT00164749")			
curcumin c3 complex	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00099710","NCT00099710")			
curcumin formulation	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01001637","NCT01001637")			
custom mask interface	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03519880","NCT03519880")			
cvl-751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04295642","NCT04295642")			
cvn424 high dose	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04191577","NCT04191577")			
cvn424 low dose	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04191577","NCT04191577")			
cvt-301	drug	6	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03887884","NCT03887884")			
cvt-301 (dose level 1)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02812394","NCT02812394")			
cvt-301 (dose level 2)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02812394","NCT02812394")			
cvt-301 high dose	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02240030","NCT02240030")			
cvt-301 low dose	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02240030","NCT02240030")			
cvt-301, lip	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02807675","NCT02807675")			
cvxl-0107	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02641054","NCT02641054")			
cx-8998	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03436953","NCT03436953")			
cx516	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00040443","NCT00040443")			
cx516 (ampalex)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00001662","NCT00001662")			
cy-atg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01145976","NCT01145976")			
cyberknife	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02406105","NCT02406105")			
cycling	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04311736","NCT04311736")			
cycling	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03193268","NCT03193268")			
cycling at forced rate	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02175082","NCT02175082")			
cycling at self-selected rate	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02175082","NCT02175082")			
cycling exercise	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01954550","NCT01954550")			
cycling exercise	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03337464","NCT03337464")			
cycling only	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03313895","NCT03313895")			
cycloastragenol	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02530255","NCT02530255")			
cyclophosphamate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00013650","NCT00013650")			
cyclophosphamide	drug	27	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00016458","NCT00016458")			
cyclophosphamide, fludarabine, thymoglobulin	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00882323","NCT00882323")			
cyclophosphamide-fludarabine-anti thymocyte globulin	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00774527","NCT00774527")			
cyclosporine	drug	20	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00482053","NCT00482053")			
cyclosporine (csp)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00568633","NCT00568633")			
cyclosporine (gengraf )	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00944749","NCT00944749")			
cyclosporine a	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00001964","NCT00001964")			
cystoscopic injection of botox into the urinary bladder	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01421719","NCT01421719")			
cytarabine	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00593645","NCT00593645")			
cytology and immunohistochemistry	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03299062","NCT03299062")			
czt spect imaging	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03438123","NCT03438123")			
d-ribose	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02260141","NCT02260141")			
d-serine (~2g/day)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00215904","NCT00215904")			
d324 (memantine hcl 10mg)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03802162","NCT03802162")			
d797	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03802162","NCT03802162")			
d: donepezil 10 mg + scopolamine 0.5 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01181310","NCT01181310")			
da-9701	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03022201","NCT03022201")			
da-9701 placebo	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02775591","NCT02775591")			
da-9805 45mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03189563","NCT03189563")			
da-9805 90mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03189563","NCT03189563")			
dabigatran	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03752294","NCT03752294")			
daclizumab	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00859131","NCT00859131")			
dalfampridine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02868567","NCT02868567")			
dana	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02903862","NCT02903862")			
dance	other	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03121950","NCT03121950")			
dance class	behavioral	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03833349","NCT03833349")			
dance group	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03333837","NCT03333837")			
dance group	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01939717","NCT01939717")			
dance program	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03370315","NCT03370315")			
dance therapy	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03549793","NCT03549793")			
daoi-a group	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03752463","NCT03752463")			
daoi-b	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01600469","NCT01600469")			
daoi-b group	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03752463","NCT03752463")			
daoi-c group	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03752463","NCT03752463")			
daoib	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02103673","NCT02103673")			
dapagliflozin	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03801642","NCT03801642")			
daratumumab injection	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04070378","NCT04070378")			
dark chocolate (85% cocoa)	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02275884","NCT02275884")			
darunavir	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02437110","NCT02437110")			
dasatinib + quercetin	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04063124","NCT04063124")			
data card report	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01035476","NCT01035476")			
data-driven clinical recommendations	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04082611","NCT04082611")			
datscan	drug	4	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01141023","NCT01141023")			
datscan and spect imaging	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00129181","NCT00129181")			
datscan spect/ct in veriton-ct camera	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03980418","NCT03980418")			
davunetide (al-108, nap)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01056965","NCT01056965")			
day care	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01639586","NCT01639586")			
dbs	device	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02549859","NCT02549859")			
dbs	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04255719","NCT04255719")			
dbs (deep brain stimulation)	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02304848","NCT02304848")			
dbs of the fornix, power off	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03352739","NCT03352739")			
dbs of the fornix, power on	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03352739","NCT03352739")			
dbs of the gpi	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00360009","NCT00360009")			
dbs of the nbm, power off	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03352739","NCT03352739")			
dbs of the nbm, power on	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03352739","NCT03352739")			
dbs of the stn	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00360009","NCT00360009")			
dbs off	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03622905","NCT03622905")			
dbs parameters setting	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00885222","NCT00885222")			
dbs programming	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03600740","NCT03600740")			
dbs stimulator setting alteration	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01769690","NCT01769690")			
dbs surgery	procedure	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01703598","NCT01703598")			
dbs using clinical support system.	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02177149","NCT02177149")			
dbs-f off	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01608061","NCT01608061")			
dbs-f on	device	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01608061","NCT01608061")			
dcb-ad1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00154635","NCT00154635")			
decad decision aid	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03282097","NCT03282097")			
decitabine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02441803","NCT02441803")			
deep brain stimulation	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01782638","NCT01782638")			
deep brain stimulation	device	27	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04244513","NCT04244513")			
deep brain stimulation	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01094145","NCT01094145")			
deep brain stimulation	procedure	6	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02893449","NCT02893449")			
deep brain stimulation (activa pc, medtronic)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01355835","NCT01355835")			
deep brain stimulation (basal nucleus of meynert)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03290274","NCT03290274")			
deep brain stimulation (beijing pins medical co., ltd)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02253043","NCT02253043")			
deep brain stimulation (dbs)	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01845883","NCT01845883")			
deep brain stimulation (dbs) of globus pallidus internus (gpi) and best medical treatment (bmt)	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02823158","NCT02823158")			
deep brain stimulation (fornix)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03290274","NCT03290274")			
deep brain stimulation (medtronic, activa pc)	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01423565","NCT01423565")			
deep brain stimulation electrode	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00821743","NCT00821743")			
deep brain stimulation management	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02119611","NCT02119611")			
deep brain stimulation of the subthalamic nucleus	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00855621","NCT00855621")			
deep brain stimulation surgery	procedure	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02975193","NCT02975193")			
deep brain stimulation surgery.	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00586079","NCT00586079")			
deep brain stimulator	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02278406","NCT02278406")			
deep rtms	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03504748","NCT03504748")			
deferiprone	drug	7	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03293069","NCT03293069")			
deferiprone 600mg delayed release tablets	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03234686","NCT03234686")			
definity	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04118764","NCT04118764")			
delivery of oral hygiene advices	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03827551","NCT03827551")			
delta-9-tetrahydrocannabinol (delta-thc)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01608217","NCT01608217")			
delta-9-tetrahydrocannabinol (thc) and cannabidiol (cbd)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01502046","NCT01502046")			
delta-thc	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01302340","NCT01302340")			
dementia education	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04247347","NCT04247347")			
dementia-specific advance care planning	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03615027","NCT03615027")			
dental mouthpiece	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04082663","NCT04082663")			
deprescribing of target anticholinergics	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04270474","NCT04270474")			
desensitization therapy for insomnia (dt-i)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04100057","NCT04100057")			
desipramine (dmi)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")			
desmotabs	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00806468","NCT00806468")			
detection of freezing	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02317289","NCT02317289")			
determination of drug effects through amantadine cessation	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04260581","NCT04260581")			
device-only fitting	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04049643","NCT04049643")			
dexmedetomidine	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04205539","NCT04205539")			
dexmedetomidine hydrochloride infusion	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00608231","NCT00608231")			
dexpramipexole	drug	6	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01449578","NCT01449578")			
dexpramipexole (dose 1)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01424176","NCT01424176")			
dexpramipexole (dose 2)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01424176","NCT01424176")			
dexpramipexole placebo	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01449578","NCT01449578")			
dexterity	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02696603","NCT02696603")			
dexterity training program (homedext)	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02297893","NCT02297893")			
dextroamphetamine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00254033","NCT00254033")			
dextromethorphan	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00788047","NCT00788047")			
dextromethorphan hbr and quinidine sulfate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03883581","NCT03883581")			
dextromethorphan hydrobromide 20 mg and quinidine sulfate 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00573443","NCT00573443")			
dextromethorphan hydrobromide 30 mg and quinidine sulfate 10 mg	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00573443","NCT00573443")			
dextromethorphan/quinidine 20mg/10mg (dm/q 20mg/10mg)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03854019","NCT03854019")			
