intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	regulatory_status	comment	priority
bms-708163 + fluconazole	drug	1	NCT00860275						FALSE
bms-708163 + ketoconazole	drug	1	NCT00860275						FALSE
bn82451b	drug	1	NCT02231580						FALSE
bnc	drug	1	NCT01747213						FALSE
body acupenture	other	1	NCT03791983						FALSE
body awareness therapy	behavioral	1	NCT02054845						FALSE
body motion evaluation dari	device	1	NCT03607721						FALSE
body sensor network	device	1	NCT04054856						FALSE
body-scan meditation	other	1	NCT03349554						FALSE
body-worn sensor technology	other	1	NCT02556164						FALSE
bone marrow aspiration	procedure	1	NCT00354419						FALSE
bone marrow derived mesenchymal stem cells	biological	1	NCT01446614						FALSE
bone marrow transplantation	procedure	1	NCT00004474						FALSE
bont-a	drug	1	NCT02427646						FALSE
booklet	other	1	NCT04078217						FALSE
booklet based training	behavioral	1	NCT01329601						FALSE
boost 5-2 diet	other	1	NCT02460783						FALSE
booster vaccine	biological	1	NCT03819699						FALSE
boston scientific vercise pc ipg with directional dbs lead	device	2	NCT03353688						FALSE
botox injection	drug	1	NCT01551940						FALSE
botulinum toxin	drug	2	NCT02472210						FALSE
botulinum toxin type a	biological	3	NCT00477802						FALSE
botulinum toxin type a	drug	2	NCT02668497						FALSE
botulinum toxin type b (myobloc)	biological	1	NCT00515437						FALSE
botulinum toxin type b (myobloc)	drug	1	NCT00125203						FALSE
botulinum toxin: xeomin	drug	1	NCT00909883						FALSE
bpdo-1603	drug	1	NCT04229927						FALSE
bpn14770	drug	4	NCT03030105						FALSE
bpn14770 placebo	drug	1	NCT03030105						FALSE
brain computer interface for wheelchair tilt control	device	1	NCT01123200						FALSE
brain computer interface keyboard	device	1	NCT00860951						FALSE
brain fitness	behavioral	1	NCT02225314						FALSE
brain fitness app	other	1	NCT03587012						FALSE
brain fitness app with tacs	other	1	NCT03587012						FALSE
brain hq	other	1	NCT02506036						FALSE
brain imaging	other	2	NCT02297035						FALSE
brain imaging examination mri	other	2	NCT01962064						FALSE
brain imaging examination mri and pet examinations	other	2	NCT01554202						FALSE
brain mpet	other	1	NCT02869945						FALSE
brain mri	device	1	NCT02811653						FALSE
brain mri	procedure	3	NCT02836054						FALSE
brain mri with resting state scan	other	1	NCT02869945						FALSE
brain polypeptide solution	dietary supplement	1	NCT03978338						FALSE
brain safe app	other	1	NCT04121858						TRUE
brain signal data collection	procedure	1	NCT04277689						FALSE
brain tissue imprint	device	1	NCT03929406						FALSE
brain-computer interface	device	1	NCT02228187						FALSE
brainconnexion	device	1	NCT03811301						FALSE
brainpaltm	device	1	NCT01661894						TRUE
brainsway h1-coil deep tms system	device	1	NCT03665831						FALSE
brainsway multiway deep tms device (two channels)	device	1	NCT02249715						FALSE
bras a (ehpad training and stimulation)	other	1	NCT01143350						FALSE
breath stacking and emt	device	1	NCT04226144						FALSE
breath stacking group	device	1	NCT04226144						FALSE
breath-stacking	other	1	NCT01932684						FALSE
breathing exercises	other	1	NCT01420796						FALSE
brexpiprazole	drug	5	NCT03594123						FALSE
brexpiprazole, opc-34712	drug	2	NCT01862640						FALSE
bright light	device	1	NCT00946530						FALSE
bright light treatment (sun ray sunbox sb-558)	device	1	NCT01338649						FALSE
brisk walking and balance training	behavioral	1	NCT04048291						FALSE
bromocriptine	drug	3	NCT00240409						FALSE
bromocriptine and other dopamine agonists	drug	1	NCT02233023						FALSE
bryostatin	drug	1	NCT03560245						FALSE
bryostatin 1	drug	2	NCT02431468						FALSE
bryostatin for injection	drug	1	NCT00606164						FALSE
bsc deep brain stimulation system with directional lead	device	1	NCT02835274						FALSE
btrx-246040	drug	1	NCT03608371						FALSE
building better caregivers online workshop	behavioral	1	NCT00799786						FALSE
bumetanide white, oblong, scored tablet	drug	1	NCT03899324						FALSE
bupleurum+ginkgo	drug	1	NCT01416818						FALSE
buprenorphine	drug	1	NCT02267057						FALSE
buprenorphine placebo	drug	1	NCT02267057						FALSE
bupropion	drug	2	NCT01914965						FALSE
buspirone	drug	3	NCT02589340						FALSE
busulfan	drug	26	NCT01390402						FALSE
busulfan, cyclophosphamide, antithymocyte globulin	drug	1	NCT00176904						FALSE
bvrt	behavioral	1	NCT03204604						FALSE
c-11 pib	drug	4	NCT02740634						FALSE
c-mill augmented reality treadmill training	device	1	NCT04108741						FALSE
c11 pib	drug	1	NCT01607476						FALSE
c2p	device	1	NCT03626324						FALSE
c: mk-3134 25 mg + scopolamine 0.5 mg	drug	1	NCT01181310						FALSE
cabergoline	drug	3	NCT00153972						FALSE
cad106	biological	14	NCT00956410						FALSE
cad106 immunotherapy	biological	1	NCT02565511	molecular	APP	Drugbank says questionable	investigational		TRUE
cadd-legacy® 1400 ambulatory infusion pump	device	7	NCT00660387						FALSE
caffeine	drug	4	NCT02211079	molecular	ADORA1		approved		FALSE
caffeine 100-200 mg bid	drug	1	NCT00459420						FALSE
caffeine alkaloid	drug	1	NCT01190735						FALSE
calcium	dietary supplement	1	NCT01119131						FALSE
calibrace	device	1	NCT03646279						FALSE
calogen	dietary supplement	1	NCT02306590						FALSE
caloric vestibular stimulation	device	1	NCT02703844						FALSE
campath-1h	drug	2	NCT00668564						FALSE
candesartan	drug	1	NCT02646982						FALSE
canine animal-assisted therapy	behavioral	1	NCT02606006						FALSE
cannabidiol	drug	2	NCT03582137						FALSE
cannabis oil	drug	1	NCT03639064						FALSE
cannabis sativa extract oromucosal spray	drug	1	NCT01776970						FALSE
cannabis, medical	drug	1	NCT03944447						FALSE
canntrust cbd oil (capsule)	drug	1	NCT03690791						FALSE
capit-hd beta	other	1	NCT03119246						FALSE
caprylidene	dietary supplement	1	NCT01122329						FALSE
capsaicin	drug	3	NCT02183519						FALSE
capsaicin vapor	drug	1	NCT02390089						FALSE
capsules containing: carbidopa (25 mg), levodopa (100 mg), entacapone (200 mg)	drug	1	NCT00134966						FALSE
carbidopa	drug	8	NCT01568073						FALSE
carbidopa 200mg oral dose	drug	1	NCT04246437						FALSE
carbidopa and levodopa 25mg/100mg	drug	1	NCT04006210						FALSE
carbidopa levodopa	drug	1	NCT03496870						FALSE
carbidopa, levodopa, entacapone	drug	1	NCT00143026						FALSE
carbidopa-levodopa	drug	3	NCT03929068						FALSE
carbidopa/l-dopa	drug	1	NCT00200447						FALSE
carbidopa/l-dopa/entacapone	drug	1	NCT00200447						FALSE
carbidopa/levodopa	drug	2	NCT00129181						FALSE
carbidopa/levodopa, immediate release	drug	1	NCT00918177						FALSE
carbidopa/levodopa/entacapone	drug	4	NCT00642356						FALSE
carbon fiber ankle foot orthosis (afo)	device	1	NCT03192046						FALSE
cardiovascular evaluation	other	1	NCT01979432						FALSE
care consultation (cc)	behavioral	1	NCT02585232						FALSE
care coordination	behavioral	1	NCT00627029						FALSE
care management	behavioral	1	NCT00246896						FALSE
care management	other	1	NCT04037501						FALSE
care of persons with dementia in their environments	behavioral	1	NCT02365051						FALSE
care to plan	behavioral	1	NCT03901456						FALSE
care-well app	behavioral	1	NCT04330482						FALSE
caregiver brief supportive phone calls	behavioral	1	NCT00416078						FALSE
caregiver coaching	behavioral	1	NCT03734289						FALSE
caregiver mentorship program	behavioral	1	NCT03189459						FALSE
caregiver questionnaire	other	1	NCT02759887						FALSE
caregiver reminiscence with coaching	behavioral	1	NCT00062569						FALSE
caregiver support via telephone	behavioral	1	NCT00259415						FALSE
caregiver website support	behavioral	1	NCT00416078						FALSE
caregiving condition	behavioral	1	NCT03049501						FALSE
cares dementia-friendly hospitals online training and certification program	behavioral	1	NCT04182282						FALSE
carmustine	drug	2	NCT00482053						FALSE
carnosine supplementation	dietary supplement	1	NCT03330470						FALSE
carvedilol	drug	3	NCT04218968						FALSE
case manager	other	1	NCT01700556						FALSE
categorical language fluency smartphone application	device	1	NCT02848404						FALSE
cb-ac-02	biological	1	NCT02899091						FALSE
cbt and sleep hygiene	behavioral	1	NCT01489982						FALSE
cbt group	behavioral	1	NCT03747848						FALSE
cbt-based program for dementia caregivers	behavioral	1	NCT01378195						FALSE
cbt-i	behavioral	1	NCT03538574						FALSE
cc100	drug	1	NCT03049046						FALSE
ccbt-i group	behavioral	1	NCT03041389						FALSE
cd-ld cr	drug	1	NCT00279825						FALSE
cd-ld cr placebo	drug	1	NCT00279825						FALSE
cd-ld ir	drug	3	NCT00279825						FALSE
cd-ld ir placebo	drug	2	NCT00279825						FALSE
cd34 selection	device	1	NCT00010335						FALSE
cd3±cd19 depleted hematopoietic stem cell transplantation	procedure	1	NCT01105273						FALSE
ceftriaxone	drug	2	NCT03413384						FALSE
celecoxib	drug	2	NCT00065169	molecular	PTGS2		approved		TRUE
celecoxib (celebrex)	drug	1	NCT00007189	molecular	PTGS2		approved		TRUE
cell-based therapy of autologous adipose derived regenerative cells transplanted intraspinally and intrathecally in als patients	biological	1	NCT03296501						FALSE
cellavita hd higher dose	biological	2	NCT03252535						FALSE
cellavita hd lower dose	biological	2	NCT03252535						FALSE
cellavita-hd	biological	1	NCT04219241						FALSE
cellular repair therapy	other	1	NCT03630419						FALSE
centricyte 1000	device	1	NCT03297177						FALSE
cep-1347 10mg	drug	1	NCT00040404						FALSE
cep-1347 50mg	drug	1	NCT00040404						FALSE
cep1347 25mg	drug	1	NCT00040404						FALSE
cere-110: adeno-associated virus delivery of ngf	drug	1	NCT00876863						FALSE
cere-110: adeno-associated virus delivery of ngf	genetic	1	NCT00087789						FALSE
cere-120 (adeno-associated virus serotype 2 [aav2]-neurturin [ntn])	drug	1	NCT00400634						FALSE
cere-120: aav2-ntn	genetic	1	NCT00252850						FALSE
cere-120: adeno-associated virus delivery of neurturin	biological	1	NCT00985517						FALSE
cerebral dopamine neurotrophic factor	drug	2	NCT03295786						FALSE
cerebrolysin + donepezil	drug	1	NCT00911807						FALSE
cerebrolysin + placebo	drug	1	NCT00911807						FALSE
cerebrospinal fluid (csf) sample	other	1	NCT02424669						FALSE
cerefolin nac (a medical food)	other	1	NCT00597376						FALSE
cerefolin nac placebo	other	1	NCT00597376						FALSE
cervical plus transcranial stimulation	device	1	NCT03076632						FALSE
cervical spinal stabilization exercise	other	1	NCT03854747						FALSE
cervical stimulation plus hand/wrist exercise	device	1	NCT03076632						FALSE
cervical transcutaneous stimulation	device	1	NCT02469675						FALSE
ces and treadmill	device	1	NCT01100762						FALSE
ces at rest	device	1	NCT03411863						FALSE
ces plus active hand or wrist movements	device	1	NCT03411863						FALSE
challenge a - low calorie ensure®	dietary supplement	1	NCT03204604						FALSE
challenge b - ensure® plus ketone esters (ke)	dietary supplement	1	NCT03204604						FALSE
characterization	behavioral	1	NCT02590276						FALSE
chattervox	device	1	NCT02407067						FALSE
chest pnf	other	1	NCT03977740						FALSE
chf 5074	drug	7	NCT00954252						FALSE
chf 5074 1x	drug	4	NCT01602393						FALSE
chf 5074 2x	drug	4	NCT01602393						FALSE
chf 5074 3x	drug	3	NCT01602393						FALSE
chf 5974	drug	1	NCT01258452						FALSE
chf5074 1x	drug	1	NCT01203384						FALSE
chf5074 2x	drug	1	NCT01203384						FALSE
chf5074 3x	drug	1	NCT01203384						FALSE
chin-down posture maneuver	other	1	NCT02973698						FALSE
chocolate	dietary supplement	1	NCT00906763						FALSE
cholesterol-lowering medicine other than statin(e.g.,ezetimibe,colestimide)	drug	1	NCT00548145						FALSE
choline alfoscerate	drug	1	NCT02648906						FALSE
cholinergic antagonist	drug	1	NCT04129060						FALSE
cholinesterase inhibitor	drug	2	NCT02035982						FALSE
cholinesterase inhibitors (ci) (donepezil, galantamine or rivastigmine)	drug	1	NCT03454646						FALSE
choral (group) singing therapy sessions	behavioral	1	NCT03263793						FALSE
chromium chloride	dietary supplement	1	NCT03038282						FALSE
chronic subthalamic nucleus stimulation	procedure	1	NCT02704195						FALSE
ciclosporin a (csa)	drug	1	NCT03689465						FALSE
cilostazol	drug	2	NCT03451591						FALSE
cimetidine plus dexpramipexole	drug	1	NCT01536249						FALSE
circadin	drug	1	NCT00940589						FALSE
circle dance program (circlecare)	other	1	NCT03081533						FALSE
circulating biomarkers measure	biological	1	NCT01638949						FALSE
circulating tpa dosage	biological	1	NCT01554202						FALSE
cistanche total glycosides	drug	1	NCT00753571						FALSE
citalopram	drug	4	NCT00376051						FALSE
citalopram [celexa]	drug	1	NCT00009204						FALSE
cjh1 (clr4001)	drug	1	NCT01684475						FALSE
ck-2017357	drug	2	NCT01486849						FALSE
ck-2017357 (part a)	drug	3	NCT01378676						FALSE
ck-2017357 (part b)	drug	3	NCT01378676						FALSE
ck-2127107	drug	1	NCT03160898						FALSE
ckd-355a (d797/memantine hcl 20mg)	drug	1	NCT03802162						FALSE
ckd-355b (d797/memantine hcl 20mg)	drug	1	NCT03802162						FALSE
ckd-504	drug	1	NCT03713892						FALSE
clarithromycin	drug	2	NCT04070495						FALSE
clarithromycin 500 mg	drug	1	NCT02197884						FALSE
clartihromycin, amoxicillin, and omeprazole	drug	1	NCT00664209						FALSE
classic physiotherapy	other	1	NCT04063605						FALSE
classical neurosurgical procedure	procedure	1	NCT01817088						FALSE
cle	drug	1	NCT01130493						FALSE
clenbuterol	drug	1	NCT04245709						FALSE
cles	combination product	1	NCT03462043						FALSE
clinic and neuropsychologic evaluation	biological	1	NCT00987090						FALSE
clinical assessment	other	1	NCT02937324						FALSE
clinical evaluation and clinical scales	other	1	NCT03940677						FALSE
clinical evaluations	behavioral	1	NCT02987140						FALSE
clinical exam	other	1	NCT02000713						FALSE
clinical examinations	other	1	NCT02576821						FALSE
clinical monitoring	other	1	NCT02648737						FALSE
clinical pilates	other	1	NCT04063605						FALSE
clinical-neurological and neuropsychological tests	other	1	NCT03939286						FALSE
clinically defined stimulation parameters	device	1	NCT01230151						FALSE
clinician programmer electrode screening mode tool	device	1	NCT03794661						FALSE
clofarabine	drug	9	NCT00593645						FALSE
clofarabine in combination with iv busulfan and atg	drug	1	NCT00863148						FALSE
clonazepam	drug	2	NCT02789592						FALSE
clonazepam placebo	drug	1	NCT02789592						FALSE
clonidine	drug	1	NCT03552068						FALSE
clonidine (catapressan)	device	1	NCT01796483						FALSE
closed loop acoustic stimulation	other	1	NCT04277104						FALSE
closed-loop stimulation	device	1	NCT03815656						FALSE
cloudupdrs - tapping task	device	1	NCT04185740						FALSE
cloudupdrs smartphone software assessment	device	1	NCT02937324						FALSE
clozapine	drug	1	NCT00004826						FALSE
cnm-au8	drug	1	NCT04098406						FALSE
cnp520	drug	2	NCT02565511	molecular	BACE1	info from: https://www.alzforum.org/therapeutics/umibecestat	investigational	aka Umibecestat	TRUE
cnp520 15mg	drug	1	NCT03131453	molecular	BACE1	info from: https://www.alzforum.org/therapeutics/umibecestat	investigational	aka Umibecestat	TRUE
cnp520 50mg	drug	1	NCT03131453	molecular	BACE1	info from: https://www.alzforum.org/therapeutics/umibecestat	investigational	aka Umibecestat	TRUE
co-op treatment protocol	behavioral	1	NCT02007785						FALSE
coach pepper	device	1	NCT03823066						FALSE
coached data-driven clinical recommendations	behavioral	1	NCT04082611						FALSE
coaching plus routine care	other	1	NCT03424200						FALSE
cocktail mix (caffeine, bupropion, rosiglitazone, omeprazole, midazolam, bilirubin)	drug	1	NCT00692510						FALSE
cocoa	dietary supplement	1	NCT03288155						FALSE
coconut oil beverage	drug	1	NCT01883648						FALSE
coenzyme q	drug	1	NCT00117403						FALSE
coenzyme q10	dietary supplement	1	NCT01892176						FALSE
coenzyme q10	drug	4	NCT00243932						FALSE
coenzyme q10 nanodispersion (nanoquinone)	drug	1	NCT00180037						FALSE
coenzyme q10 with vitamin e	drug	1	NCT00740714						FALSE
cogane™ (pym50028)	drug	1	NCT00875316						FALSE
cogmed qm	behavioral	1	NCT02926820						FALSE
cognitive and behavioral experimental tasks	behavioral	1	NCT03272230						FALSE
cognitive and psycho-behavioral effects of an artistic dimension	behavioral	1	NCT02208193						FALSE
cognitive assessment	behavioral	1	NCT01962064						FALSE
cognitive assessment	diagnostic test	1	NCT03991624						FALSE
cognitive assessments	other	1	NCT02759887						FALSE
cognitive behavioral therapy	behavioral	4	NCT00810628						FALSE
cognitive behavioral therapy for insomnia (cbt-i)	behavioral	2	NCT04100057						TRUE
cognitive behavioral therapy group	behavioral	1	NCT01762618						FALSE
cognitive behavioral therapy of anxiety in dementia (cbt-ad)	behavioral	1	NCT00596284						FALSE
cognitive behavioural therapy	behavioral	2	NCT03065127						FALSE
cognitive behavioural therapy (cbt)	behavioral	1	NCT02648737						FALSE
cognitive control	behavioral	1	NCT03095417	behavioral					TRUE
cognitive evaluation	other	1	NCT04012411						FALSE
cognitive examination	other	1	NCT03342339						FALSE
cognitive exercise alone (ice) first	device	1	NCT03069391						FALSE
cognitive impairment of multiple sclerosis	other	1	NCT00978536						FALSE
cognitive rehabilitation	behavioral	2	NCT02247180						FALSE
cognitive rehabilitation and health behavior change intervention	behavioral	1	NCT04118985						FALSE
cognitive remediation	behavioral	1	NCT03622840						FALSE
cognitive remediation program: rehacop	other	1	NCT02118480						FALSE
cognitive stimulation (cs)	other	1	NCT03784183						FALSE
cognitive stimulation and rehabilitation of social tie.	behavioral	1	NCT02829801						FALSE
cognitive strategy training	behavioral	1	NCT02826785						FALSE
cognitive stress tests during functional mri	other	1	NCT03016702						FALSE
cognitive stress tests during gait task	other	1	NCT03016702						FALSE
cognitive task	other	1	NCT04045444						FALSE
cognitive tasks.	other	1	NCT02025517						FALSE
cognitive testing - fcsrt	behavioral	1	NCT03204604						FALSE
cognitive tests	behavioral	2	NCT02218567						FALSE
cognitive tests	other	1	NCT02134561						FALSE
cognitive tests and questionary	other	1	NCT03976505						FALSE
cognitive training	behavioral	8	NCT03656107	behavioral					TRUE
cognitive training	other	2	NCT01038726	behavioral					TRUE
cognitive training by virtual reality	behavioral	1	NCT02832921	behavioral					TRUE
cognitive training intervention	behavioral	1	NCT03095417	behavioral					TRUE
cognitive training only	behavioral	1	NCT03313895						FALSE
cognitive treatment (ct)	other	1	NCT03034746						FALSE
cognitive, physical and social stimulation	device	1	NCT00443014						FALSE
cognitive-behavioral group therapy	behavioral	1	NCT03656159						FALSE
cognitive-behavioral therapy	behavioral	1	NCT00464464						FALSE
cognitive-behavioral therapy (cbt)	behavioral	1	NCT03993041						FALSE
cogsmart-pd	behavioral	1	NCT03335150						FALSE
cogstate one card learning	behavioral	1	NCT03204604						FALSE
cohort 1:nilotinib oral capsules (150mg or 300mg)	drug	1	NCT03205488						FALSE
cohort 2: nilotinib oral capsules (dose to be determined from cohort 1)	drug	1	NCT03205488						FALSE
cohort a	drug	1	NCT04280536						FALSE
cohort b	drug	1	NCT04280536						FALSE
cohort1	genetic	1	NCT02418598						FALSE
cohort2	genetic	1	NCT02418598						FALSE
colchicine 1 mg oral tablet	drug	2	NCT03693781						FALSE
collaborative dementia care program	behavioral	2	NCT03300180						FALSE
collection of csf, blood, urine, saliva	other	1	NCT02263235						FALSE
colonoscopy or rectosigmoidoscopy	other	1	NCT01618383						FALSE
colonoscopy or rectosigmoidoscopy	procedure	1	NCT01353183						FALSE
colonoscopy with colonic biopsies	procedure	1	NCT02841605						FALSE
combination injection of epo and g-csf	drug	1	NCT02018406						FALSE
combination of aerobic and strength exercises	behavioral	1	NCT02520232	behavioral					TRUE
combination of treadmill training and computerized memory	behavioral	1	NCT01156714						FALSE
combined aerobic and resistance exercise + caregiver skills training	behavioral	1	NCT03123224						FALSE
combined education, walking and light exposure program	behavioral	1	NCT00183378						FALSE
combined parameters adjustment	device	1	NCT01934881						FALSE
combined psychotherapy and psychopharmacological treatment	behavioral	1	NCT01731717						FALSE
commercially available computerized training	other	1	NCT02922530						FALSE
commercially available video game	behavioral	1	NCT02331784						FALSE
communication system	other	1	NCT03787420						FALSE
communication system p300 speller	device	1	NCT01897818						FALSE
communicative effectiveness survey	other	1	NCT02710162						FALSE
community occupational therapy in dementia	behavioral	1	NCT00295152						FALSE
community rx-caregiver resources	behavioral	1	NCT04146545						FALSE
community support groups	behavioral	1	NCT02690896						FALSE
community-based dementia care	other	1	NCT03786471						FALSE
community-based exercise class	other	1	NCT02615548						FALSE
comparator: carbidopa	drug	1	NCT00505843						FALSE
comparator: levodopa	drug	1	NCT00505843						FALSE
comparator: placebo	drug	2	NCT00362024						FALSE
comparator: placebo (unspecified)	drug	2	NCT00505843						FALSE
comparator: placebo 5-10 mg	drug	1	NCT00777608						FALSE
comparator: placebo 5mg (run in)	drug	1	NCT00777608						FALSE
comparison group	behavioral	1	NCT01295957						FALSE
completion of scales evaluation	behavioral	1	NCT02824367						FALSE
complex cognitive training	behavioral	1	NCT00544856						FALSE
comprehension training	behavioral	1	NCT03568760						FALSE
comprehensive evaluation	other	1	NCT02827812						FALSE
comprehensive ophthalmic examination	diagnostic test	1	NCT03699644						FALSE
comprehensive physical therapy	other	1	NCT03568903						FALSE
comprehensive, cbt-based, multi-component treatment	behavioral	1	NCT01273272						FALSE
computer assisted ambulatory electroencephalogram	diagnostic test	1	NCT04002583						FALSE
computer brain fitness training	behavioral	1	NCT02265757						FALSE
computer game	other	1	NCT01393353						FALSE
computer game based balance and walking rehabilitation for individuals with parkinson's disease	other	1	NCT03232996						FALSE
computer tablet group	behavioral	1	NCT02833311						FALSE
computer task assessing cognition	behavioral	1	NCT02975193						FALSE
computer-based cognitive training	device	2	NCT03285347						FALSE
computer-based cognitive training	procedure	1	NCT00319891						FALSE
computerised cognitive training	behavioral	1	NCT02990676						FALSE
computerized cognitive stimulation	behavioral	1	NCT03848312						FALSE
computerized cognitive training	behavioral	1	NCT03382353	behavioral					TRUE
computerized cognitive training	other	2	NCT01121627	behavioral					TRUE
computerized games	other	1	NCT02205710	behavioral					TRUE
computerized plasticity-based adaptive cognitive training	other	1	NCT02922530						FALSE
computerized plasticity-based software	behavioral	1	NCT02331784						FALSE
computerized test	behavioral	1	NCT00833274						FALSE
computerized tests and electrophysiological measurements	behavioral	1	NCT01339130						FALSE
comtan®	drug	4	NCT02834507						FALSE
comtess®	drug	1	NCT00247247						FALSE
condition classic cognitive stimulation (ccs) then condition virtual reality (vr)	other	1	NCT02176629						FALSE
condition virtual reality (vr) then condition classic cognitive stimulation (ccs)	other	1	NCT02176629						FALSE
conditioning regimen	drug	1	NCT02876679						FALSE
conem-beta + socio-educational training	other	1	NCT01652222						FALSE
confidence building and social engagement	behavioral	1	NCT03987464						FALSE
conservative measures for orthostatic hypotension	behavioral	1	NCT00103597						FALSE
consultation in memory clinic	behavioral	1	NCT01430286						FALSE
consulting with parkinsun as communication aid-tool	other	1	NCT04179695						FALSE
consulting without parkinsun as communication aid-tool	other	1	NCT04179695						FALSE
contact and testing only	other	1	NCT01696019	behavioral					TRUE
continuous apomorphine infusion	drug	1	NCT01039090						FALSE
continuous dbs (activa pc+s neurostimulator)	device	1	NCT02384421						FALSE
continuous intrajejunal infusion of levodopa-carbidopa	drug	1	NCT02480803						FALSE
continuous moderate intensity training	other	1	NCT03940261						FALSE
continuous positive airway pressure (cpap)	device	1	NCT00492115	device					TRUE
continuous positive airway pressure (cpap)	other	1	NCT01962779	device					TRUE
continuous positive airway pressure device	other	1	NCT02474251						FALSE
continuous release dopamine agonists	drug	1	NCT00465452						FALSE
continuous subcutaneous lisuride infusion	drug	1	NCT00408915						FALSE
continuous training	behavioral	1	NCT00784563						FALSE
contraloid	drug	2	NCT03955380						FALSE
control	behavioral	5	NCT03308032						TRUE
control	biological	1	NCT03069911						TRUE
control	device	2	NCT00946530						TRUE
control	other	13	NCT01568099						TRUE
control (con)	behavioral	1	NCT03723707						FALSE
control - cognitive training in a practitioner's office one time per week	behavioral	1	NCT04010175						FALSE
control arm	other	2	NCT04087031						FALSE
control condition	behavioral	1	NCT03333252						FALSE
control group	behavioral	5	NCT02521558						FALSE
control group	other	5	NCT01363401						FALSE
control group	procedure	1	NCT03741959						FALSE
control group (global muscle stretching)	other	1	NCT02763891						FALSE
control group (tdcs sham)	device	1	NCT02250690						FALSE
control group: treatment as usual	other	1	NCT01731717						FALSE
control group: usual care	other	1	NCT03570268						FALSE
control intervention	other	1	NCT01749917						FALSE
control light device	device	1	NCT02175472						FALSE
control parkinson group	other	1	NCT03193489						FALSE
control training	behavioral	3	NCT03565965						FALSE
control with delayed intervention	other	1	NCT02697721						FALSE
control with no intervention	behavioral	1	NCT02833870						FALSE
control: placebo	biological	1	NCT01117818						FALSE
controlled diet	behavioral	1	NCT00190372						FALSE
controlled environment tests (series of tasks of everyday life)	other	1	NCT02785978						FALSE
controlled-release levodopa / carbidopa	drug	1	NCT00174239						FALSE
convection enhanced delivery/aav2-gdnf	genetic	1	NCT01621581						FALSE
conventional	other	1	NCT03977740						FALSE
conventional dbs	device	1	NCT03724734						FALSE
conventional deep brain stimulation	device	1	NCT03422757						FALSE
conventional exercise	other	1	NCT03294031						FALSE
conventional intervention	behavioral	1	NCT02671396						FALSE
conventional physical therapy	behavioral	2	NCT04204551						FALSE
conventional physical therapy	other	1	NCT04046276						FALSE
conventional physical training	behavioral	1	NCT03921359						FALSE
conventional physical treatment	other	1	NCT02164162						FALSE
conventional physiotherapy	other	2	NCT02786433						FALSE
conventional rehabilitation	other	1	NCT03960931						FALSE
conventional rehabilitation program	other	1	NCT02807740						FALSE
conventional therapy	behavioral	1	NCT02516644						FALSE
conventional therapy	other	1	NCT02797496						FALSE
coordinated care management for parkinson's disease	other	1	NCT01532986						FALSE
cope online training	behavioral	1	NCT04165213						FALSE
coping effectiveness training - als	behavioral	1	NCT01583205						FALSE
copper	dietary supplement	1	NCT00608946						FALSE
coq10	drug	2	NCT00076492						FALSE
cor388	drug	1	NCT03418688						FALSE
cor388 capsule	drug	1	NCT03823404						FALSE
cord blood infusion	procedure	2	NCT01362452						FALSE
core stability	other	1	NCT03580096						FALSE
cough assessment in als patients	other	1	NCT02495571						FALSE
cough assist	device	1	NCT02682030						FALSE
counseling	other	1	NCT02107638						FALSE
counseling (c)	behavioral	1	NCT02585232						FALSE
counselling on a brain-healthy diet	behavioral	1	NCT03382353						FALSE
cpap adherence intervention	behavioral	1	NCT01482351						FALSE
cpc-201	drug	3	NCT02860065						FALSE
cr1 impact	other	1	NCT01565434						FALSE
cranial electric stimulation (ces)	device	1	NCT01100762						FALSE
creatine	drug	5	NCT01257581						FALSE
creatine monohydrate	drug	7	NCT00069186	molecular	CKM		approved		TRUE
crenezumab	drug	5	NCT02670083	molecular	APP		investigational	not fully annotated in Drugbank	TRUE
crenezumab (ro5490245)	drug	1	NCT03491150						FALSE
crenezumab dose level 1	drug	1	NCT02353598						FALSE
crenezumab dose level 2	drug	1	NCT02353598						FALSE
crenezumb dose level 3	drug	1	NCT02353598						FALSE
csa	drug	4	NCT02099747						FALSE
csbi	behavioral	1	NCT00721383						FALSE
ct scan	radiation	1	NCT03597360						FALSE
ct1812	drug	4	NCT02570997						FALSE
ctc-413	combination product	1	NCT03683225						FALSE
cts21166 (zpq-21166)	drug	1	NCT00621010						FALSE
ctx	drug	1	NCT03689465						FALSE
cu(ii)atsm	drug	5	NCT02870634						FALSE
cue - visual and auditory	behavioral	1	NCT03249155						FALSE
cupping massage	procedure	1	NCT01500330						FALSE
curcum.luteol.theaflav.lip.acid,fishoil,quercet.,resveratr.	dietary supplement	1	NCT01716637						FALSE
curcumin	drug	1	NCT01811381						FALSE
curcumin and ginkgo extract	drug	2	NCT00164749						FALSE
curcumin c3 complex	dietary supplement	1	NCT00099710						FALSE
curcumin formulation	dietary supplement	1	NCT01001637						FALSE
custom mask interface	device	1	NCT03519880						FALSE
cvl-751	drug	1	NCT04295642						FALSE
cvn424 high dose	drug	1	NCT04191577						FALSE
cvn424 low dose	drug	1	NCT04191577						FALSE
cvt-301	drug	6	NCT03887884						FALSE
cvt-301 (dose level 1)	drug	1	NCT02812394						FALSE
cvt-301 (dose level 2)	drug	1	NCT02812394						FALSE
